white,black,pieza,casilla,respuestas,ganan,tablas,pierden,plies,gana1,gana2,sindef
12344,11245,4,centro,32,4,0,28,12,63.4,36.0,0.6
12344,11245,3,esquina,32,2,0,30,10,60.3,38.7,1.0
12344,11245,4,esquina,32,2,0,30,10,59.9,39.1,1.0
12344,11245,2,esquina,32,2,0,30,8,59.7,38.9,1.4
12344,11245,1,esquina,32,2,0,30,8,58.8,40.1,1.1
12344,11245,1,centro,32,4,4,24,12,58.4,40.7,0.9
12344,11245,2,centro,32,4,4,24,12,57.7,41.3,1.0
12344,11245,3,centro,32,8,0,24,12,56.7,42.5,0.8
12344,11245,4,lado,32,6,0,26,10,55.2,43.8,1.0
12344,11245,3,lado,32,2,0,30,10,52.7,46.1,1.2
12344,11245,2,lado,32,8,2,22,8,51.2,47.7,1.1
12344,11245,1,lado,32,11,2,19,8,48.6,50.8,0.6
12344,12245,4,centro,32,4,0,28,12,63.5,36.2,0.3
12344,12245,1,esquina,32,2,0,30,8,59.2,40.2,0.6
12344,12245,4,esquina,32,2,0,30,10,58.5,40.9,0.6
12344,12245,2,esquina,32,2,0,30,8,58.1,40.8,1.1
12344,12245,3,esquina,32,2,0,30,10,57.4,41.4,1.2
12344,12245,2,centro,32,4,4,24,12,56.9,42.8,0.3
12344,12245,1,centro,32,4,4,24,12,55.3,44.0,0.7
12344,12245,4,lado,32,6,0,26,10,54.8,44.8,0.4
12344,12245,3,centro,32,8,0,24,12,53.3,45.7,1.0
12344,12245,3,lado,32,4,0,28,10,50.2,48.7,1.1
12344,12245,2,lado,32,9,3,20,8,47.2,52.4,0.4
12344,12245,1,lado,32,11,2,19,8,44.1,54.7,1.2
12344,12345,4,centro,40,4,0,36,12,56.6,42.9,0.5
12344,12345,4,esquina,40,2,0,38,10,53.2,45.8,1.0
12344,12345,1,esquina,40,2,0,38,8,53.2,46.2,0.6
12344,12345,4,lado,40,8,0,32,10,52.1,47.6,0.3
12344,12345,2,esquina,40,2,0,38,8,52.0,47.3,0.7
12344,12345,3,esquina,40,2,0,38,8,50.1,49.6,0.3
12344,12345,3,centro,40,8,0,32,12,49.8,49.5,0.7
12344,12345,2,centro,40,8,0,32,12,48.3,51.4,0.3
12344,12345,1,centro,40,8,0,32,12,47.9,51.5,0.6
12344,12345,3,lado,40,10,4,26,8,46.5,52.8,0.7
12344,12345,1,lado,40,16,0,24,8,43.1,56.3,0.6
12344,12345,2,lado,40,13,2,25,8,42.3,57.3,0.4
13344,12255,4,esquina,24,1,0,23,10,58.1,41.2,0.7
13344,12255,3,centro,24,4,0,20,12,57.9,41.3,0.8
13344,12255,1,esquina,24,1,0,23,8,57.4,42.1,0.5
13344,12255,3,esquina,24,1,0,23,10,57.0,42.3,0.7
13344,12255,1,centro,24,4,0,20,12,56.9,41.9,1.2
13344,12255,4,centro,24,4,0,20,12,56.8,42.6,0.6
13344,12255,4,lado,24,7,0,17,10,53.5,45.7,0.8
13344,12255,3,lado,24,7,0,17,10,51.1,47.8,1.1
13344,12255,1,lado,24,12,0,12,8,46.3,52.8,0.9
13344,12355,3,esquina,32,1,0,31,8,58.5,40.9,0.6
13344,12355,4,esquina,32,1,0,31,10,57.2,42.1,0.7
13344,12355,3,centro,32,4,0,28,12,56.0,43.2,0.8
13344,12355,4,centro,32,4,0,28,10,55.7,43.8,0.5
13344,12355,1,esquina,32,1,0,31,8,55.4,44.3,0.3
13344,12355,4,lado,32,9,2,21,10,50.1,49.1,0.8
13344,12355,1,centro,32,4,0,28,12,49.4,49.8,0.8
13344,12355,3,lado,32,11,2,19,8,48.2,50.9,0.9
13344,12355,1,lado,32,15,0,17,8,47.8,51.2,1.0
22344,11355,2,esquina,24,1,0,23,8,57.3,42.5,0.2
22344,11355,4,esquina,24,1,0,23,10,56.4,42.5,1.1
22344,11355,4,centro,24,4,0,20,10,53.8,45.8,0.4
22344,11355,3,esquina,24,1,0,23,8,53.0,46.5,0.5
22344,11355,4,lado,24,7,2,15,10,51.1,48.0,0.9
22344,11355,3,centro,24,4,0,20,12,50.8,48.7,0.5
22344,11355,2,centro,24,4,0,20,12,50.3,49.3,0.4
22344,11355,3,lado,24,9,2,13,8,46.9,52.2,0.9
22344,11355,2,lado,24,10,1,13,8,46.0,53.4,0.6
23344,11355,3,esquina,24,1,0,23,8,60.4,39.5,0.1
23344,11355,4,esquina,24,1,0,23,10,59.4,39.6,1.0
23344,11355,2,esquina,24,1,0,23,8,55.6,44.0,0.4
23344,11355,4,centro,24,4,0,20,10,55.3,44.1,0.6
23344,11355,3,centro,24,4,0,20,12,54.7,44.9,0.4
23344,11355,4,lado,24,7,2,15,10,52.3,46.6,1.1
23344,11355,2,centro,24,4,0,20,12,50.8,48.0,1.2
23344,11355,3,lado,24,9,2,13,8,48.1,51.4,0.5
23344,11355,2,lado,24,10,1,13,8,46.9,51.7,1.4
