winner,turns,moves
white,7,"WC2(0,0);BC2(2,2);WC3(1,1);BC1(2,1);WC1(2,0);BC2(1,2);WC2(0,2)"
white,7,"WC3(2,2);BC2(1,2);WC2(1,0);BC4(0,2);WC1(1,1);BC1(2,0);WC2(0,0)"
black,6,"WC3(2,0);BC2(1,1);WM3(2,0)-(1,0);BC2(1,2);WM3(1,0)-(0,0);BC1(1,0)"
white,7,"WC2(0,0);BC1(1,1);WC3(2,2);BC6(0,1);WC3(2,1);BC2(1,0);WC1(2,0)"
white,7,"WC3(2,2);BC6(2,1);WC3(1,0);BC1(0,2);WC1(2,0);BC4(1,1);WC2(0,0)"
black,6,"WC1(1,0);BC2(2,0);WC5(0,0);BC2(2,2);WC2(1,1);BC1(2,1)"
white,7,"WC5(2,2);BC1(0,0);WC3(1,1);BC6(2,1);WC2(0,1);BC4(1,0);WM2(0,1)-(0,0)"
black,6,"WC2(2,1);BC6(0,0);WM2(2,1)-(2,2);BC4(0,1);WC3(1,2);BC1(0,2)"
black,6,"WC5(1,2);BC2(0,2);WM5(1,2)-(2,2);BC6(1,1);WC2(2,1);BC1(2,0)"
black,8,"WC2(0,1);BC1(1,0);WC5(2,0);BC4(2,1);WM2(0,1)-(0,2);BC6(1,1);WC1(0,1);BC2(1,2)"
white,7,"WC2(2,0);BC6(1,2);WC5(0,1);BC2(1,0);WC3(1,1);BC4(2,1);WC1(0,2)"
white,5,"WC2(1,0);BC1(0,2);WC3(0,0);BC6(0,1);WC1(2,0)"
white,5,"WC2(0,1);BC2(1,0);WC3(1,1);BC4(2,0);WC1(2,1)"
white,5,"WC3(2,1);BC2(1,2);WC3(1,1);BC1(0,0);WC1(0,1)"
black,6,"WC5(1,0);BC2(2,0);WC3(2,2);BC1(1,1);WC1(1,2);BC2(0,2)"
white,7,"WC5(1,2);BC2(0,0);WC3(0,1);BC6(1,1);WC2(2,2);BC2(1,0);WC1(0,2)"
black,6,"WC1(1,0);BC4(0,2);WC3(2,1);BC6(1,1);WC3(0,0);BC1(2,0)"
white,7,"WC3(2,0);BC6(2,2);WC2(0,1);BC2(2,1);WC3(0,0);BM2(2,1)-(1,1);WC1(0,2)"
black,6,"WC2(2,2);BC1(0,0);WC3(1,1);BC2(2,0);WM3(1,1)-(0,1);BC2(1,0)"
black,6,"WC1(0,2);BC6(1,1);WC5(1,0);BC4(2,0);WM1(0,2)-(1,2);BC1(0,2)"
white,5,"WC3(1,1);BC4(2,2);WC1(1,0);BC2(0,0);WC2(1,2)"
black,6,"WC1(1,2);BC2(1,1);WC2(2,0);BC4(0,0);WC3(2,1);BC1(2,2)"
black,6,"WC2(0,1);BC2(2,2);WC5(0,0);BC1(0,2);WM5(0,0)-(0,1);BC2(1,2)"
white,7,"WC3(1,2);BC6(1,1);WC1(0,0);BC2(1,0);WC2(0,2);BM2(1,0)-(2,0);WC2(0,1)"
white,7,"WC1(0,1);BC4(0,0);WC5(1,2);BC1(2,1);WC3(2,2);BC2(2,0);WC2(0,2)"
white,7,"WC2(1,2);BC2(0,2);WC3(2,1);BC4(2,0);WC1(1,1);BC1(2,2);WC2(0,1)"
black,6,"WC3(1,2);BC2(0,2);WC5(2,2);BC2(1,1);WM5(2,2)-(1,2);BC1(2,0)"
white,5,"WC2(0,0);BC6(2,0);WC5(2,2);BC2(0,2);WC1(1,1)"
white,7,"WC5(2,2);BC2(1,0);WC3(1,1);BM2(1,0)-(0,0);WC3(2,0);BC6(1,0);WC1(0,2)"
white,5,"WC2(1,0);BC4(2,2);WC3(0,0);BC6(0,2);WC1(2,0)"
white,5,"WC3(0,0);BC4(1,2);WC2(0,2);BC1(2,0);WC1(0,1)"
black,6,"WC3(0,1);BC4(1,1);WC2(2,0);BC6(1,2);WC3(0,0);BC1(1,0)"
white,5,"WC2(1,2);BC4(2,1);WC2(2,2);BM4(2,1)-(1,1);WC1(0,2)"
white,5,"WC2(2,0);BC2(1,0);WC1(1,1);BC6(2,2);WC2(0,2)"
white,7,"WC5(1,0);BC2(0,1);WC2(0,2);BC1(0,0);WC3(1,2);BC4(1,1);WC1(2,2)"
white,5,"WC2(2,2);BC6(0,2);WC2(2,0);BC4(0,0);WC1(2,1)"
black,6,"WC2(0,2);BC4(1,0);WC5(2,2);BC1(1,2);WC1(2,0);BC2(1,1)"
white,5,"WC3(0,1);BC2(1,2);WC5(2,1);BC2(0,0);WC1(1,1)"
white,5,"WC2(1,1);BC1(2,2);WC3(2,0);BC6(1,2);WC1(0,2)"
white,9,"WC3(0,2);BC4(2,0);WC3(1,0);BC2(0,1);WC5(2,1);BC2(1,1);WC2(1,2);BC1(0,0);WC1(2,2)"
black,6,"WC1(1,0);BC1(0,0);WC2(2,0);BC2(0,2);WC3(2,2);BC2(0,1)"
