,Valor
Total de partidas ganadas por blanco,2150.0
Total de partidas ganadas por negro,1283.0
Porcentaje de victorias de blanco,62.62743955723856
Porcentaje de victorias de negro,37.37256044276143
Promedio de piezas colocadas por el ganador,5.631808913486746
Promedio de piezas colocadas por blanco cuando gana,5.370232558139535
Promedio de piezas colocadas por negro cuando gana,6.070148090413094
Promedio de rondas total,3.422371103990679
Promedio de rondas en partidas ganadas por blanco,3.358139534883721
Promedio de rondas en partidas ganadas por negro,3.5300077942322683

Ronda,Cantidad de Partidas,% Ganadas Blanco,% Ganadas Negro
3,2269,64.34552666372852,35.65447333627149
4,933,66.2379421221865,33.762057877813504
5,185,34.5945945945946,65.4054054054054
6,38,21.052631578947366,78.94736842105263
7,7,0.0,100.0
8,1,0.0,100.0

first_move,total_games,white_wins,avg_rounds,white_win_percentage
"WC1(0,0)",365,248,3.361643835616438,67.94520547945206
"WC1(0,1)",415,225,3.4578313253012047,54.21686746987952
"WC1(0,2)",399,272,3.3859649122807016,68.1704260651629
"WC1(1,0)",385,203,3.5246753246753246,52.72727272727272
"WC1(1,1)",379,290,3.271767810026385,76.51715039577837
"WC1(1,2)",398,225,3.5050251256281406,56.53266331658291
"WC1(2,0)",352,251,3.403409090909091,71.30681818181817
"WC1(2,1)",359,197,3.456824512534819,54.874651810584965
"WC1(2,2)",381,239,3.425196850393701,62.72965879265092
