winner,turns,moves
black,6,"WC1(2,2);BC6(0,1);WC1(1,1);BC6(0,0);WC1(2,1);BC6(0,2)"
white,7,"WC1(0,0);BC6(1,2);WC1(1,1);BC6(2,2);WC1(0,2);BC6(2,0);WC1(0,1)"
black,6,"WC1(2,1);BC6(1,0);WC1(1,2);BC6(0,0);WC1(0,2);BC6(2,0)"
white,5,"WC1(2,2);BC6(1,0);WC1(1,2);BC6(0,1);WC1(0,2)"
white,5,"WC1(0,0);BC6(1,0);WC1(0,1);BC6(2,2);WC1(0,2)"
black,6,"WC1(1,0);BC6(0,2);WC1(0,0);BC6(2,0);WC1(2,2);BC6(1,1)"
white,5,"WC1(2,0);BC6(2,1);WC1(1,0);BC6(1,1);WC1(0,0)"
white,5,"WC1(0,2);BC6(0,0);WC1(2,2);BC6(0,1);WC1(1,2)"
black,6,"WC1(0,1);BC6(1,1);WC1(2,0);BC6(2,2);WM1(2,0)-(2,1);BC6(0,0)"
white,5,"WC1(1,0);BC6(1,1);WC1(0,0);BC6(1,2);WC1(2,0)"
white,5,"WC1(0,1);BC6(2,2);WC1(2,1);BC6(1,0);WC1(1,1)"
black,6,"WC1(1,0);BC6(0,0);WC1(2,0);BC6(2,2);WC1(2,1);BC6(1,1)"
white,7,"WC1(1,2);BC6(2,0);WC1(1,1);BC6(1,0);WC1(0,0);BM6(2,0)-(2,1);WC1(2,2)"
black,12,"WC1(1,0);BC6(2,2);WC1(0,2);BC6(2,0);WC1(2,1);BM6(2,2)-(1,2);WC1(0,0);BC6(0,1);WM1(2,1)-(1,1);BM6(2,0)-(1,0);WM1(1,1)-(2,1);BC6(1,1)"
black,6,"WC1(1,0);BC6(2,2);WC1(0,2);BC6(2,1);WC1(0,1);BC6(2,0)"
white,5,"WC1(0,1);BC6(0,0);WC1(1,1);BC6(1,0);WC1(2,1)"
white,7,"WC1(0,1);BC6(0,2);WC1(2,2);BC6(2,1);WC1(1,1);BM6(0,2)-(1,2);WC1(0,0)"
white,7,"WC1(0,0);BC6(0,1);WC1(1,2);BM6(0,1)-(1,1);WC1(2,2);BC6(0,1);WC1(0,2)"
white,5,"WC1(2,2);BC6(0,1);WC1(1,1);BC6(2,1);WC1(0,0)"
black,6,"WC1(2,1);BC6(1,0);WC1(0,0);BC6(1,1);WM1(2,1)-(2,2);BC6(1,2)"
white,7,"WC1(2,0);BC6(2,2);WC1(1,2);BC6(0,2);WC1(1,1);BM6(0,2)-(1,2);WC1(0,2)"
white,7,"WC1(1,1);BC6(2,1);WC1(2,0);BC6(0,2);WC1(1,2);BM6(2,1)-(2,0);WC1(1,0)"
white,5,"WC1(2,0);BC6(1,2);WC1(1,1);BC6(2,2);WC1(0,2)"
white,7,"WC1(2,1);BC6(0,1);WC1(0,2);BC6(1,1);WC1(1,2);BC6(1,0);WC1(2,2)"
black,6,"WC1(0,2);BC6(1,1);WC1(2,0);BC6(0,1);WC1(1,2);BC6(2,1)"
black,8,"WC1(1,1);BC6(2,2);WC1(2,1);BC6(0,1);WM1(1,1)-(1,0);BC6(1,2);WM1(1,0)-(1,1);BC6(0,2)"
black,6,"WC1(1,1);BC6(2,0);WC1(0,0);BC6(2,2);WC1(1,0);BC6(2,1)"
white,5,"WC1(1,1);BC6(2,0);WC1(1,2);BC6(0,0);WC1(1,0)"
black,6,"WC1(2,1);BC6(2,0);WC1(2,2);BC6(1,0);WC1(0,1);BC6(0,0)"
white,9,"WC1(0,0);BC6(1,1);WM1(0,0)-(1,0);BC6(1,2);WC1(0,2);BM6(1,1)-(0,1);WC1(1,1);BC6(2,2);WC1(2,0)"
black,6,"WC1(0,1);BC6(1,1);WC1(2,0);BC6(2,2);WC1(0,2);BC6(0,0)"
black,6,"WC1(2,0);BC6(0,0);WC1(1,0);BC6(0,2);WC1(1,2);BC6(0,1)"
black,6,"WC1(2,1);BC6(1,1);WC1(0,0);BC6(0,2);WC1(1,0);BC6(2,0)"
black,10,"WC1(0,2);BC6(1,2);WC1(2,1);BC6(2,0);WC1(1,1);BC6(0,1);WC1(1,0);BM6(0,1)-(0,2);WM1(2,1)-(2,2);BM6(1,2)-(1,1)"
black,6,"WC1(1,1);BC6(0,1);WC1(2,1);BC6(0,0);WM1(1,1)-(1,0);BC6(0,2)"
black,6,"WC1(0,2);BC6(0,0);WC1(1,0);BC6(2,2);WC1(2,0);BC6(1,1)"
black,6,"WC1(2,1);BC6(1,1);WM1(2,1)-(2,2);BC6(2,0);WC1(1,2);BC6(0,2)"
white,5,"WC1(1,2);BC6(2,2);WC1(1,1);BM6(2,2)-(2,1);WC1(1,0)"
black,6,"WC1(2,1);BC6(2,0);WC1(1,2);BC6(0,0);WM1(1,2)-(1,1);BC6(1,0)"
black,6,"WC1(1,0);BC6(2,2);WC1(0,1);BC6(2,0);WM1(1,0)-(1,1);BC6(2,1)"
white,5,"WC1(1,2);BC6(2,1);WC1(0,2);BC6(0,0);WC1(2,2)"
white,7,"WC1(1,0);BC6(2,1);WM1(1,0)-(2,0);BC6(0,2);WC1(0,0);BM6(2,1)-(2,2);WC1(1,0)"
white,5,"WC1(1,1);BC6(0,2);WC1(0,0);BC6(2,1);WC1(2,2)"
white,5,"WC1(2,0);BC6(2,2);WC1(1,1);BC6(2,1);WC1(0,2)"
white,5,"WC1(2,1);BC6(1,2);WC1(2,0);BC6(0,0);WC1(2,2)"
white,5,"WC1(1,2);BC6(0,0);WC1(2,2);BC6(0,1);WC1(0,2)"
white,7,"WC1(0,0);BC6(1,1);WC1(1,2);BM6(1,1)-(0,1);WM1(1,2)-(2,2);BC6(0,2);WC1(1,1)"
black,6,"WC1(1,0);BC6(2,0);WC1(0,1);BC6(1,1);WC1(2,1);BC6(0,2)"
black,6,"WC1(0,1);BC6(2,2);WC1(1,2);BC6(0,0);WC1(2,1);BC6(1,1)"
black,6,"WC1(0,1);BC6(0,2);WC1(2,0);BC6(1,2);WC1(1,1);BC6(2,2)"
white,7,"WC1(0,1);BC6(0,2);WC1(0,0);BC6(1,0);WC1(2,2);BC6(2,1);WC1(1,1)"
black,8,"WC1(1,1);BC6(0,1);WM1(1,1)-(2,1);BC6(1,2);WC1(1,0);BC6(0,0);WM1(2,1)-(2,2);BC6(0,2)"
black,6,"WC1(0,2);BC6(1,1);WC1(2,1);BC6(1,2);WC1(0,0);BC6(1,0)"
white,5,"WC1(1,1);BC6(2,0);WC1(2,2);BC6(2,1);WC1(0,0)"
black,6,"WC1(0,1);BC6(2,2);WC1(1,2);BC6(2,1);WC1(1,0);BC6(2,0)"
white,5,"WC1(1,1);BC6(0,1);WC1(0,0);BC6(1,0);WC1(2,2)"
black,6,"WC1(2,1);BC6(1,1);WM1(2,1)-(2,2);BC6(1,2);WM1(2,2)-(2,1);BC6(1,0)"
white,5,"WC1(0,0);BC6(0,1);WC1(2,0);BC6(2,2);WC1(1,0)"
white,5,"WC1(1,2);BC6(2,0);WC1(2,2);BC6(1,0);WC1(0,2)"
white,5,"WC1(2,1);BC6(1,0);WC1(0,1);BC6(0,2);WC1(1,1)"
black,10,"WC1(2,0);BC6(2,1);WM1(2,0)-(1,0);BM6(2,1)-(2,0);WM1(1,0)-(1,1);BM6(2,0)-(1,0);WC1(2,2);BC6(0,0);WC1(2,1);BC6(2,0)"
white,5,"WC1(0,0);BC6(1,1);WC1(0,1);BM6(1,1)-(2,1);WC1(0,2)"
black,8,"WC1(1,1);BC6(0,1);WC1(1,0);BC6(1,2);WC1(0,2);BM6(0,1)-(0,2);WM1(1,1)-(2,1);BC6(2,2)"
white,5,"WC1(2,0);BC6(2,1);WC1(0,2);BC6(1,0);WC1(1,1)"
white,5,"WC1(2,1);BC6(0,2);WC1(2,0);BC6(1,0);WC1(2,2)"
white,7,"WC1(1,1);BC6(2,0);WC1(0,2);BC6(0,1);WM1(0,2)-(1,2);BM6(2,0)-(2,1);WC1(1,0)"
white,7,"WC1(1,0);BC6(1,2);WC1(2,1);BM6(1,2)-(0,2);WM1(1,0)-(1,1);BC6(2,0);WC1(0,1)"
black,6,"WC1(1,1);BC6(2,0);WM1(1,1)-(1,2);BC6(1,0);WC1(2,1);BC6(0,0)"
black,6,"WC1(1,2);BC6(0,0);WC1(0,1);BC6(2,2);WM1(1,2)-(0,2);BC6(1,1)"
black,6,"WC1(2,2);BC6(1,2);WC1(0,1);BC6(1,0);WC1(2,0);BC6(1,1)"
black,8,"WC1(1,0);BC6(1,2);WC1(2,1);BC6(0,2);WM1(2,1)-(2,2);BC6(0,0);WC1(2,0);BC6(0,1)"
white,7,"WC1(2,0);BC6(0,1);WC1(0,0);BC6(1,0);WC1(0,2);BC6(2,2);WC1(1,1)"
white,5,"WC1(2,0);BC6(0,0);WC1(2,1);BC6(0,1);WC1(2,2)"
white,7,"WC1(1,1);BC6(2,0);WC1(0,2);BC6(0,1);WC1(1,2);BC6(0,0);WC1(1,0)"
black,6,"WC1(1,0);BC6(1,1);WM1(1,0)-(0,0);BC6(1,2);WC1(2,0);BC6(1,0)"
black,6,"WC1(2,1);BC6(2,2);WC1(0,2);BC6(1,1);WM1(0,2)-(0,1);BC6(0,0)"
black,8,"WC1(2,2);BC6(2,1);WC1(0,1);BC6(1,1);WC1(1,0);BM6(2,1)-(2,0);WM1(2,2)-(2,1);BC6(0,2)"
black,8,"WC1(2,0);BC6(1,0);WC1(1,2);BC6(1,1);WC1(0,0);BC6(0,1);WC1(2,2);BC6(2,1)"
white,7,"WC1(1,2);BC6(1,1);WC1(2,1);BC6(1,0);WM1(2,1)-(2,2);BC6(2,0);WC1(0,2)"
black,6,"WC1(0,2);BC6(2,1);WC1(1,0);BC6(2,0);WM1(1,0)-(1,1);BC6(2,2)"
black,6,"WC1(1,2);BC6(2,0);WM1(1,2)-(1,1);BC6(0,0);WM1(1,1)-(2,1);BC6(1,0)"
black,8,"WC1(1,0);BC6(1,1);WC1(0,1);BC6(0,0);WC1(2,2);BC6(2,0);WC1(0,2);BM6(1,1)-(1,0)"
white,5,"WC1(1,0);BC6(2,2);WC1(0,0);BC6(1,1);WC1(2,0)"
black,6,"WC1(0,1);BC6(0,2);WC1(1,0);BC6(2,2);WC1(2,0);BC6(1,2)"
black,6,"WC1(0,1);BC6(1,2);WM1(0,1)-(1,1);BC6(2,2);WM1(1,1)-(2,1);BC6(0,2)"
white,7,"WC1(1,0);BC6(1,1);WC1(2,2);BC6(1,2);WC1(2,0);BM6(1,1)-(2,1);WC1(0,0)"
