,Valor
Total de partidas ganadas por blanco,6530.0
Total de partidas ganadas por negro,3470.0
Porcentaje de victorias de blanco,65.3
Porcentaje de victorias de negro,34.699999999999996
Promedio de piezas colocadas por el ganador,5.7101
Promedio de piezas colocadas por blanco cuando gana,5.465696784073507
Promedio de piezas colocadas por negro cuando gana,6.170028818443804
Promedio de rondas total,3.4199
Promedio de rondas en partidas ganadas por blanco,3.404134762633997
Promedio de rondas en partidas ganadas por negro,3.4495677233429394

Ronda,Cantidad de Partidas,% Ganadas Blanco,% Ganadas Negro
3,6561,66.17893613778388,33.82106386221613
4,2770,64.33212996389892,35.667870036101085
5,585,62.05128205128205,37.94871794871795
6,78,52.56410256410257,47.43589743589743
7,5,40.0,60.0
8,1,0.0,100.0

first_move,total_games,white_wins,avg_rounds,white_win_percentage
"WC1(0,0)",1077,750,3.3983286908077996,69.63788300835655
"WC1(0,1)",1089,630,3.47842056932966,57.85123966942148
"WC1(0,2)",1103,765,3.3771532184950135,69.35630099728014
"WC1(1,0)",1114,642,3.509874326750449,57.63016157989228
"WC1(1,1)",1156,900,3.2655709342560555,77.85467128027682
"WC1(1,2)",1102,627,3.483666061705989,56.896551724137936
"WC1(2,0)",1068,745,3.3689138576779025,69.7565543071161
"WC1(2,1)",1132,657,3.4946996466431095,58.03886925795053
"WC1(2,2)",1159,814,3.4063848144952544,70.23295944779983
