white,black,teoria,max_gana1,apertura_max,prom_gana1,min_ganan,min_aguantan,aperturas
12333,112244,tablas,53.1,3 lado,49.1,0,9,6
12333,112255,tablas,53.1,3 lado,49.1,0,9,6
12334,122355,segundo,51.0,1 esquina,48.5,3,10,8
12344,112355,segundo,55.6,4 lado,51.8,1,10,8
12344,122355,segundo,54.1,4 lado,49.8,1,10,8
12344,123355,segundo,51.2,4 lado,46.9,1,10,8
12444,112255,tablas,53.1,4 lado,49.1,0,9,6
13334,112355,segundo,54.4,3 esquina,49.9,3,10,6
13344,113355,tablas,52.9,4 esquina,50.1,0,9,6
13344,123355,tablas,53.4,3 lado,51.2,0,10,6
13344,133355,tablas,50.6,3 esquina,47.6,0,9,6
13344,223355,tablas,48.9,4 esquina,46.2,0,9,6
13444,113355,tablas,53.1,4 lado,49.1,0,9,6
13444,123355,tablas,54.5,4 lado,51.4,0,10,6
22333,111244,tablas,60.8,3 esquina,56.2,0,9,4
22333,111255,tablas,60.8,3 esquina,56.2,0,9,4
22334,112355,segundo,56.6,3 esquina,53.6,3,10,6
22344,111355,tablas,51.8,3 esquina,50.2,0,9,6
22344,112355,segundo,58.5,4 esquina,55.1,1,10,6
22344,113355,segundo,50.5,4 lado,47.0,1,9,6
22344,123355,segundo,52.6,4 lado,50.0,1,10,6
22444,111255,tablas,60.8,4 esquina,56.2,0,9,4
23334,112345,segundo,53.8,3 esquina,48.9,1,11,6
23334,112355,segundo,59.8,3 esquina,54.0,3,10,6
23334,122345,segundo,54.4,3 lado,49.0,1,11,6
23344,223355,tablas,52.9,4 esquina,50.1,0,9,6
23444,223355,tablas,53.1,4 lado,49.1,0,9,6
33444,111355,tablas,60.8,4 esquina,56.2,0,9,4
33444,113355,tablas,58.6,4 esquina,55.4,0,9,4
33444,223355,tablas,58.6,4 esquina,55.4,0,9,4
