Barriendo 26,460 enfrentamientos, hasta 14 plies, 20000 ms cada uno.
Hilos: 8
      25/26460  (1s)
      50/26460  (2s)
      75/26460  (3s)
     100/26460  (4s)
     125/26460  (5s)
     150/26460  (6s)
     175/26460  (7s)
     200/26460  (9s)
     225/26460  (11s)
     250/26460  (13s)
     275/26460  (15s)
     300/26460  (15s)
     325/26460  (16s)
     350/26460  (18s)
     375/26460  (19s)
     400/26460  (21s)
     425/26460  (21s)
     450/26460  (22s)
     475/26460  (24s)
     500/26460  (26s)
     525/26460  (28s)
     550/26460  (31s)
     575/26460  (34s)
     600/26460  (36s)
     625/26460  (37s)
     650/26460  (39s)
     675/26460  (41s)
     700/26460  (43s)
     725/26460  (44s)
     750/26460  (45s)
     775/26460  (47s)
     800/26460  (49s)
     825/26460  (52s)
     850/26460  (55s)
     875/26460  (59s)
     900/26460  (61s)
     925/26460  (63s)
     950/26460  (65s)
     975/26460  (67s)
    1000/26460  (69s)
    1025/26460  (72s)
    1050/26460  (74s)
    1075/26460  (75s)
    1100/26460  (77s)
    1125/26460  (79s)
    1150/26460  (81s)
    1175/26460  (83s)
    1200/26460  (85s)
    1225/26460  (88s)
    1250/26460  (90s)
    1275/26460  (93s)
    1300/26460  (94s)
    1325/26460  (96s)
    1350/26460  (97s)
    1375/26460  (100s)
    1400/26460  (102s)
    1425/26460  (104s)
    1450/26460  (106s)
    1475/26460  (108s)
    1500/26460  (110s)
    1525/26460  (111s)
    1550/26460  (113s)
    1575/26460  (117s)
    1600/26460  (119s)
    1625/26460  (121s)
    1650/26460  (124s)
    1675/26460  (127s)
    1700/26460  (128s)
    1725/26460  (130s)
    1750/26460  (133s)
    1775/26460  (136s)
    1800/26460  (139s)
    1825/26460  (141s)
    1850/26460  (145s)
    1875/26460  (149s)
    1900/26460  (153s)
    1925/26460  (154s)
    1950/26460  (156s)
    1975/26460  (158s)
    2000/26460  (160s)
    2025/26460  (161s)
    2050/26460  (162s)
    2075/26460  (163s)
    2100/26460  (164s)
    2125/26460  (166s)
    2150/26460  (167s)
    2175/26460  (170s)
    2200/26460  (171s)
    2225/26460  (172s)
    2250/26460  (174s)
    2275/26460  (175s)
    2300/26460  (177s)
    2325/26460  (178s)
    2350/26460  (179s)
    2375/26460  (180s)
    2400/26460  (181s)
    2425/26460  (183s)
    2450/26460  (184s)
    2475/26460  (186s)
    2500/26460  (189s)
    2525/26460  (190s)
    2550/26460  (193s)
    2575/26460  (196s)
    2600/26460  (199s)
    2625/26460  (204s)
    2650/26460  (207s)
    2675/26460  (210s)
    2700/26460  (212s)
    2725/26460  (215s)
    2750/26460  (217s)
    2775/26460  (220s)
    2800/26460  (222s)
    2825/26460  (223s)
    2850/26460  (226s)
    2875/26460  (228s)
    2900/26460  (230s)
    2925/26460  (233s)
    2950/26460  (235s)
    2975/26460  (240s)
    3000/26460  (243s)
    3025/26460  (244s)
    3050/26460  (246s)
    3075/26460  (247s)
    3100/26460  (250s)
    3125/26460  (254s)
    3150/26460  (256s)
    3175/26460  (259s)
    3200/26460  (263s)
    3225/26460  (266s)
    3250/26460  (269s)
    3275/26460  (274s)
    3300/26460  (276s)
    3325/26460  (282s)
    3350/26460  (285s)
    3375/26460  (290s)
    3400/26460  (293s)
    3425/26460  (296s)
    3450/26460  (298s)
    3475/26460  (300s)
    3500/26460  (303s)
    3525/26460  (305s)
    3550/26460  (308s)
    3575/26460  (313s)
    3600/26460  (315s)
    3625/26460  (318s)
    3650/26460  (320s)
    3675/26460  (322s)
    3700/26460  (324s)
    3725/26460  (325s)
    3750/26460  (327s)
    3775/26460  (329s)
    3800/26460  (332s)
    3825/26460  (334s)
    3850/26460  (337s)
    3875/26460  (339s)
    3900/26460  (341s)
    3925/26460  (345s)
    3950/26460  (350s)
    3975/26460  (354s)
    4000/26460  (357s)
    4025/26460  (359s)
    4050/26460  (362s)
    4075/26460  (365s)
    4100/26460  (368s)
    4125/26460  (373s)
    4150/26460  (376s)
    4175/26460  (377s)
    4200/26460  (378s)
    4225/26460  (383s)
    4250/26460  (384s)
    4275/26460  (386s)
    4300/26460  (388s)
    4325/26460  (392s)
