Barriendo 26,460 enfrentamientos, hasta 14 plies, 20000 ms cada uno.
Hilos: 8
    6675/26460  (620s)
    6700/26460  (623s)
    6725/26460  (625s)
    6750/26460  (627s)
    6775/26460  (631s)
    6800/26460  (636s)
    6825/26460  (642s)
    6850/26460  (646s)
    6875/26460  (648s)
    6900/26460  (651s)
    6925/26460  (654s)
    6950/26460  (659s)
    6975/26460  (662s)
    7000/26460  (665s)
    7025/26460  (668s)
    7050/26460  (671s)
    7075/26460  (673s)
    7100/26460  (678s)
    7125/26460  (679s)
    7150/26460  (681s)
    7175/26460  (683s)
    7200/26460  (687s)
    7225/26460  (691s)
    7250/26460  (694s)
    7275/26460  (696s)
    7300/26460  (698s)
    7325/26460  (701s)
    7350/26460  (704s)
    7375/26460  (707s)
    7400/26460  (708s)
    7425/26460  (710s)
    7450/26460  (712s)
    7475/26460  (714s)
    7500/26460  (715s)
    7525/26460  (717s)
    7550/26460  (719s)
    7575/26460  (721s)
    7600/26460  (722s)
    7625/26460  (723s)
    7650/26460  (725s)
    7675/26460  (727s)
    7700/26460  (728s)
    7725/26460  (729s)
    7750/26460  (731s)
    7775/26460  (733s)
    7800/26460  (736s)
    7825/26460  (739s)
    7850/26460  (744s)
    7875/26460  (747s)
    7900/26460  (749s)
    7925/26460  (753s)
    7950/26460  (755s)
    7975/26460  (758s)
    8000/26460  (760s)
    8025/26460  (765s)
    8050/26460  (768s)
    8075/26460  (769s)
    8100/26460  (772s)
    8125/26460  (774s)
    8150/26460  (777s)
    8175/26460  (778s)
    8200/26460  (781s)
    8225/26460  (784s)
    8250/26460  (786s)
    8275/26460  (790s)
    8300/26460  (792s)
    8325/26460  (794s)
    8350/26460  (797s)
    8375/26460  (799s)
    8400/26460  (801s)
    8425/26460  (803s)
    8450/26460  (806s)
    8475/26460  (808s)
    8500/26460  (810s)
    8525/26460  (810s)
    8550/26460  (811s)
    8575/26460  (812s)
    8600/26460  (814s)
    8625/26460  (817s)
    8650/26460  (820s)
    8675/26460  (821s)
    8700/26460  (823s)
    8725/26460  (824s)
    8750/26460  (824s)
    8775/26460  (825s)
    8800/26460  (827s)
    8825/26460  (828s)
    8850/26460  (829s)
    8875/26460  (830s)
    8900/26460  (831s)
    8925/26460  (832s)
    8950/26460  (833s)
    8975/26460  (834s)
    9000/26460  (835s)
    9025/26460  (837s)
    9050/26460  (838s)
    9075/26460  (840s)
    9100/26460  (842s)
    9125/26460  (843s)
    9150/26460  (844s)
    9175/26460  (846s)
    9200/26460  (847s)
    9225/26460  (848s)
    9250/26460  (850s)
    9275/26460  (851s)
    9300/26460  (853s)
    9325/26460  (855s)
    9350/26460  (856s)
    9375/26460  (856s)
    9400/26460  (857s)
    9425/26460  (859s)
    9450/26460  (860s)
    9475/26460  (861s)
    9500/26460  (862s)
    9525/26460  (864s)
    9550/26460  (865s)
    9575/26460  (867s)
    9600/26460  (869s)
    9625/26460  (872s)
    9650/26460  (873s)
    9675/26460  (875s)
    9700/26460  (876s)
    9725/26460  (877s)
    9750/26460  (878s)
    9775/26460  (879s)
    9800/26460  (880s)
    9825/26460  (881s)
    9850/26460  (881s)
    9875/26460  (882s)
    9900/26460  (883s)
    9925/26460  (884s)
    9950/26460  (885s)
    9975/26460  (886s)
   10000/26460  (887s)
   10025/26460  (889s)
   10050/26460  (891s)
   10075/26460  (894s)
   10100/26460  (896s)
   10125/26460  (898s)
   10150/26460  (900s)
   10175/26460  (901s)
   10200/26460  (903s)
   10225/26460  (904s)
   10250/26460  (905s)
   10275/26460  (906s)
   10300/26460  (911s)
   10325/26460  (915s)
   10350/26460  (920s)
   10375/26460  (924s)
   10400/26460  (928s)
   10425/26460  (931s)
   10450/26460  (937s)
   10475/26460  (940s)
   10500/26460  (943s)
   10525/26460  (946s)
   10550/26460  (948s)
   10575/26460  (949s)
   10600/26460  (951s)
   10625/26460  (951s)
   10650/26460  (953s)
   10675/26460  (956s)
   10700/26460  (958s)
   10725/26460  (959s)
   10750/26460  (960s)
   10775/26460  (962s)
   10800/26460  (963s)
   10825/26460  (964s)
   10850/26460  (965s)
   10875/26460  (967s)
   10900/26460  (970s)
   10925/26460  (973s)
   10950/26460  (975s)
   10975/26460  (978s)
   11000/26460  (980s)
   11025/26460  (982s)
   11050/26460  (986s)
   11075/26460  (987s)
   11100/26460  (990s)
   11125/26460  (992s)
   11150/26460  (994s)
   11175/26460  (995s)
   11200/26460  (996s)
   11225/26460  (998s)
   11250/26460  (1000s)
   11275/26460  (1002s)
   11300/26460  (1004s)
   11325/26460  (1006s)
   11350/26460  (1009s)
   11375/26460  (1012s)
   11400/26460  (1013s)
   11425/26460  (1016s)
   11450/26460  (1019s)
   11475/26460  (1021s)
   11500/26460  (1023s)
   11525/26460  (1027s)
   11550/26460  (1029s)
   11575/26460  (1031s)
   11600/26460  (1033s)
   11625/26460  (1035s)
   11650/26460  (1037s)
   11675/26460  (1040s)
   11700/26460  (1043s)
   11725/26460  (1046s)
   11750/26460  (1049s)
   11775/26460  (1054s)
   11800/26460  (1057s)
   11825/26460  (1061s)
   11850/26460  (1062s)
   11875/26460  (1063s)
   11900/26460  (1065s)
   11925/26460  (1066s)
   11950/26460  (1068s)
   11975/26460  (1070s)
   12000/26460  (1072s)
   12025/26460  (1074s)
   12050/26460  (1076s)
   12075/26460  (1077s)
   12100/26460  (1079s)
   12125/26460  (1080s)
   12150/26460  (1081s)
   12175/26460  (1083s)
   12200/26460  (1085s)
   12225/26460  (1087s)
   12250/26460  (1088s)
   12275/26460  (1090s)
   12300/26460  (1091s)
   12325/26460  (1092s)
   12350/26460  (1094s)
   12375/26460  (1095s)
   12400/26460  (1097s)
   12425/26460  (1099s)
   12450/26460  (1100s)
   12475/26460  (1101s)
   12500/26460  (1103s)
   12525/26460  (1104s)
   12550/26460  (1105s)
   12575/26460  (1107s)
   12600/26460  (1109s)
   12625/26460  (1109s)
   12650/26460  (1110s)
   12675/26460  (1113s)
   12700/26460  (1115s)
   12725/26460  (1118s)
   12750/26460  (1121s)
   12775/26460  (1125s)
   12800/26460  (1127s)
   12825/26460  (1131s)
   12850/26460  (1135s)
   12875/26460  (1140s)
   12900/26460  (1147s)
   12925/26460  (1151s)
   12950/26460  (1155s)
   12975/26460  (1159s)
   13000/26460  (1162s)
   13025/26460  (1166s)
   13050/26460  (1171s)
   13075/26460  (1176s)
   13100/26460  (1181s)
   13125/26460  (1184s)
   13150/26460  (1190s)
   13175/26460  (1192s)
   13200/26460  (1197s)
   13225/26460  (1202s)
   13250/26460  (1205s)
   13275/26460  (1210s)
   13300/26460  (1214s)
   13325/26460  (1219s)
   13350/26460  (1223s)
   13375/26460  (1224s)
   13400/26460  (1225s)
   13425/26460  (1227s)
   13450/26460  (1229s)
   13475/26460  (1232s)
   13500/26460  (1234s)
   13525/26460  (1236s)
   13550/26460  (1239s)
   13575/26460  (1241s)
   13600/26460  (1242s)
   13625/26460  (1243s)
   13650/26460  (1245s)
   13675/26460  (1247s)
   13700/26460  (1251s)
   13725/26460  (1254s)
   13750/26460  (1258s)
   13775/26460  (1261s)
   13800/26460  (1262s)
   13825/26460  (1263s)
   13850/26460  (1267s)
   13875/26460  (1268s)
   13900/26460  (1269s)
   13925/26460  (1271s)
   13950/26460  (1272s)
   13975/26460  (1274s)
   14000/26460  (1275s)
   14025/26460  (1276s)
   14050/26460  (1278s)
   14075/26460  (1279s)
   14100/26460  (1281s)
   14125/26460  (1283s)
   14150/26460  (1285s)
   14175/26460  (1286s)
   14200/26460  (1287s)
   14225/26460  (1289s)
   14250/26460  (1293s)
   14275/26460  (1295s)
   14300/26460  (1298s)
   14325/26460  (1302s)
   14350/26460  (1306s)
   14375/26460  (1307s)
   14400/26460  (1307s)
   14425/26460  (1308s)
   14450/26460  (1310s)
   14475/26460  (1312s)
   14500/26460  (1313s)
   14525/26460  (1315s)
   14550/26460  (1316s)
   14575/26460  (1323s)
   14600/26460  (1327s)
   14625/26460  (1331s)
   14650/26460  (1332s)
   14675/26460  (1335s)
   14700/26460  (1337s)
   14725/26460  (1339s)
   14750/26460  (1342s)
   14775/26460  (1344s)
   14800/26460  (1345s)
   14825/26460  (1346s)
   14850/26460  (1348s)
   14875/26460  (1349s)
   14900/26460  (1349s)
   14925/26460  (1352s)
   14950/26460  (1355s)
   14975/26460  (1361s)
   15000/26460  (1368s)
   15025/26460  (1370s)
   15050/26460  (1371s)
   15075/26460  (1373s)
   15100/26460  (1375s)
   15125/26460  (1376s)
   15150/26460  (1377s)
   15175/26460  (1378s)
   15200/26460  (1381s)
   15225/26460  (1384s)
   15250/26460  (1386s)
   15275/26460  (1388s)
   15300/26460  (1391s)
   15325/26460  (1394s)
   15350/26460  (1396s)
   15375/26460  (1397s)
   15400/26460  (1399s)
   15425/26460  (1401s)
   15450/26460  (1402s)
   15475/26460  (1403s)
   15500/26460  (1404s)
   15525/26460  (1404s)
   15550/26460  (1405s)
   15575/26460  (1406s)
   15600/26460  (1407s)
   15625/26460  (1407s)
   15650/26460  (1408s)
   15675/26460  (1408s)
   15700/26460  (1409s)
   15725/26460  (1411s)
   15750/26460  (1411s)
   15775/26460  (1413s)
