Barriendo 44,100 enfrentamientos, hasta 14 plies, 20000 ms cada uno.
Hilos: 8
      25/44100  (1s)
      50/44100  (2s)
      75/44100  (3s)
     100/44100  (4s)
     125/44100  (5s)
     150/44100  (6s)
     175/44100  (8s)
     200/44100  (8s)
     225/44100  (9s)
     250/44100  (10s)
     275/44100  (11s)
     300/44100  (12s)
     325/44100  (14s)
     350/44100  (15s)
     375/44100  (17s)
     400/44100  (18s)
     425/44100  (19s)
     450/44100  (20s)
     475/44100  (21s)
     500/44100  (23s)
     525/44100  (24s)
     550/44100  (25s)
     575/44100  (25s)
     600/44100  (26s)
     625/44100  (27s)
     650/44100  (28s)
     675/44100  (30s)
     700/44100  (33s)
     725/44100  (35s)
     750/44100  (38s)
     775/44100  (40s)
     800/44100  (42s)
     825/44100  (43s)
     850/44100  (45s)
     875/44100  (46s)
     900/44100  (46s)
     925/44100  (48s)
     950/44100  (49s)
     975/44100  (51s)
    1000/44100  (51s)
    1025/44100  (53s)
    1050/44100  (54s)
    1075/44100  (55s)
    1100/44100  (57s)
    1125/44100  (58s)
    1150/44100  (59s)
    1175/44100  (61s)
    1200/44100  (62s)
    1225/44100  (64s)
    1250/44100  (66s)
    1275/44100  (68s)
    1300/44100  (70s)
    1325/44100  (73s)
    1350/44100  (75s)
    1375/44100  (77s)
    1400/44100  (80s)
    1425/44100  (82s)
    1450/44100  (84s)
    1475/44100  (87s)
    1500/44100  (88s)
    1525/44100  (89s)
    1550/44100  (91s)
    1575/44100  (93s)
    1600/44100  (96s)
    1625/44100  (98s)
    1650/44100  (100s)
    1675/44100  (102s)
    1700/44100  (103s)
    1725/44100  (104s)
    1750/44100  (105s)
    1775/44100  (107s)
    1800/44100  (108s)
    1825/44100  (110s)
    1850/44100  (112s)
    1875/44100  (114s)
    1900/44100  (116s)
    1925/44100  (118s)
    1950/44100  (120s)
    1975/44100  (122s)
    2000/44100  (124s)
    2025/44100  (125s)
    2050/44100  (127s)
    2075/44100  (128s)
    2100/44100  (129s)
    2125/44100  (130s)
    2150/44100  (131s)
    2175/44100  (132s)
    2200/44100  (133s)
    2225/44100  (134s)
    2250/44100  (135s)
    2275/44100  (138s)
    2300/44100  (141s)
    2325/44100  (144s)
    2350/44100  (150s)
    2375/44100  (155s)
    2400/44100  (158s)
    2425/44100  (161s)
    2450/44100  (165s)
    2475/44100  (167s)
    2500/44100  (171s)
    2525/44100  (174s)
    2550/44100  (177s)
    2575/44100  (179s)
    2600/44100  (181s)
    2625/44100  (183s)
    2650/44100  (186s)
    2675/44100  (189s)
    2700/44100  (191s)
    2725/44100  (193s)
    2750/44100  (194s)
    2775/44100  (197s)
    2800/44100  (199s)
    2825/44100  (200s)
    2850/44100  (201s)
    2875/44100  (203s)
    2900/44100  (204s)
    2925/44100  (205s)
    2950/44100  (208s)
    2975/44100  (212s)
    3000/44100  (216s)
    3025/44100  (221s)
    3050/44100  (225s)
    3075/44100  (228s)
    3100/44100  (230s)
    3125/44100  (235s)
    3150/44100  (239s)
    3175/44100  (240s)
    3200/44100  (245s)
    3225/44100  (248s)
    3250/44100  (253s)
    3275/44100  (256s)
    3300/44100  (258s)
    3325/44100  (260s)
    3350/44100  (262s)
    3375/44100  (265s)
    3400/44100  (269s)
    3425/44100  (272s)
    3450/44100  (274s)
    3475/44100  (276s)
    3500/44100  (279s)
    3525/44100  (282s)
    3550/44100  (284s)
    3575/44100  (288s)
    3600/44100  (292s)
    3625/44100  (294s)
    3650/44100  (296s)
    3675/44100  (298s)
    3700/44100  (299s)
    3725/44100  (302s)
    3750/44100  (306s)
    3775/44100  (307s)
    3800/44100  (309s)
    3825/44100  (310s)
    3850/44100  (312s)
    3875/44100  (314s)
    3900/44100  (315s)
    3925/44100  (316s)
    3950/44100  (317s)
    3975/44100  (318s)
    4000/44100  (320s)
    4025/44100  (321s)
    4050/44100  (324s)
    4075/44100  (325s)
    4100/44100  (327s)
    4125/44100  (328s)
    4150/44100  (331s)
    4175/44100  (333s)
    4200/44100  (334s)
    4225/44100  (336s)
    4250/44100  (337s)
    4275/44100  (337s)
    4300/44100  (339s)
    4325/44100  (341s)
    4350/44100  (342s)
    4375/44100  (343s)
    4400/44100  (344s)
    4425/44100  (345s)
    4450/44100  (346s)
    4475/44100  (347s)
    4500/44100  (349s)
    4525/44100  (350s)
    4550/44100  (353s)
    4575/44100  (356s)
    4600/44100  (359s)
    4625/44100  (361s)
    4650/44100  (363s)
    4675/44100  (365s)
    4700/44100  (367s)
    4725/44100  (369s)
    4750/44100  (370s)
    4775/44100  (372s)
    4800/44100  (375s)
    4825/44100  (376s)
    4850/44100  (378s)
    4875/44100  (380s)
    4900/44100  (381s)
    4925/44100  (383s)
    4950/44100  (387s)
    4975/44100  (388s)
    5000/44100  (390s)
    5025/44100  (392s)
    5050/44100  (393s)
    5075/44100  (395s)
    5100/44100  (398s)
    5125/44100  (399s)
    5150/44100  (400s)
    5175/44100  (402s)
    5200/44100  (405s)
    5225/44100  (408s)
    5250/44100  (410s)
    5275/44100  (414s)
    5300/44100  (416s)
    5325/44100  (418s)
    5350/44100  (422s)
    5375/44100  (426s)
    5400/44100  (427s)
    5425/44100  (429s)
    5450/44100  (431s)
    5475/44100  (432s)
    5500/44100  (434s)
    5525/44100  (437s)
    5550/44100  (438s)
    5575/44100  (440s)
    5600/44100  (441s)
    5625/44100  (443s)
    5650/44100  (445s)
    5675/44100  (448s)
    5700/44100  (452s)
    5725/44100  (456s)
    5750/44100  (459s)
    5775/44100  (461s)
    5800/44100  (465s)
    5825/44100  (467s)
    5850/44100  (471s)
    5875/44100  (475s)
    5900/44100  (479s)
    5925/44100  (482s)
    5950/44100  (486s)
    5975/44100  (491s)
    6000/44100  (495s)
    6025/44100  (497s)
    6050/44100  (500s)
    6075/44100  (504s)
    6100/44100  (507s)
    6125/44100  (510s)
    6150/44100  (514s)
    6175/44100  (517s)
    6200/44100  (521s)
    6225/44100  (529s)
    6250/44100  (531s)
    6275/44100  (535s)
    6300/44100  (538s)
    6325/44100  (541s)
    6350/44100  (546s)
    6375/44100  (548s)
    6400/44100  (551s)
    6425/44100  (552s)
    6450/44100  (555s)
    6475/44100  (560s)
    6500/44100  (563s)
    6525/44100  (567s)
    6550/44100  (571s)
    6575/44100  (573s)
    6600/44100  (576s)
    6625/44100  (577s)
    6650/44100  (579s)
    6675/44100  (581s)
    6700/44100  (583s)
    6725/44100  (585s)
    6750/44100  (590s)
    6775/44100  (593s)
    6800/44100  (599s)
    6825/44100  (603s)
    6850/44100  (605s)
    6875/44100  (608s)
    6900/44100  (615s)
    6925/44100  (619s)
