white,black,teoria,max_gana1,apertura_max,prom_gana1,min_ganan,min_aguantan,aperturas
111344,222355,tablas,48.8,4 lado,45.4,0,9,6
112224,133335,tablas,50.0,4 esquina,46.7,0,9,6
112244,123355,tablas,53.1,4 esquina,47.3,0,10,6
112244,133355,tablas,51.6,4 esquina,46.5,0,9,6
112334,122345,tablas,55.4,3 esquina,50.6,0,11,8
112334,123345,tablas,51.6,3 esquina,47.2,0,11,8
112344,223355,tablas,54.4,4 esquina,48.4,0,9,8
113334,123345,tablas,52.4,3 esquina,48.3,0,11,6
113334,123355,tablas,53.9,3 esquina,50.4,0,10,6
113334,222355,tablas,54.8,3 esquina,49.0,0,9,6
122234,113355,tablas,51.4,2 esquina,49.2,0,9,8
122235,114455,segundo,53.5,2 esquina,49.3,1,7,8
122244,133355,tablas,51.2,4 esquina,46.3,0,9,6
122333,113334,segundo,54.5,3 esquina,49.8,2,7,6
122333,113335,segundo,54.5,3 esquina,49.8,2,7,6
122344,233355,tablas,53.9,4 esquina,48.1,0,9,8
133333,113334,tablas,54.1,3 esquina,48.2,0,7,4
133334,113345,tablas,53.6,3 esquina,49.6,0,10,6
133334,223355,tablas,56.5,3 esquina,47.8,0,9,6
133444,222445,tablas,56.0,4 lado,51.1,0,7,6
223333,113334,tablas,54.4,3 esquina,50.2,0,7,4
223333,113335,tablas,54.4,3 esquina,50.2,0,7,4
223334,113345,tablas,55.8,3 esquina,51.5,0,10,6
223334,133345,tablas,49.6,3 esquina,46.3,0,10,6
224444,114445,tablas,54.4,4 esquina,50.2,0,7,4
233334,113345,tablas,55.4,3 esquina,50.6,0,10,6
233334,133345,tablas,50.1,3 esquina,46.0,0,10,6
233334,223345,tablas,53.6,3 esquina,49.6,0,10,6
334444,114445,tablas,54.4,4 esquina,50.2,0,7,4
334444,224445,tablas,54.4,4 esquina,50.2,0,7,4
