Despues de 4@A1 5@A2, le toca a el primero.
Teoria a 12 plies, 600 partidas a ve4 con esas jugadas forzadas.

jugada                     teoria                   ve4 1o/2o
------------------------------------------------------------------
1 a A3                     pierde en 12             41.2 / 55.3
3 a C2                     pierde en 12             38.2 / 58.3
4 a B1                     pierde en 10             37.8 / 57.7
3 a B1                     pierde en 12             37.5 / 59.0
4 a C2                     pierde en 12             37.2 / 59.3
3 a B3                     pierde en 12             36.0 / 60.3
2 a B3                     pierde en 12             35.8 / 61.5
2 a A3                     pierde en 12             35.7 / 59.3
2 a C2                     pierde en 12             32.8 / 62.8
3 a A3                     pierde en 12             32.5 / 63.0
4 a C1                     pierde en 12             32.0 / 63.3
4 a B3                     pierde en 12             31.7 / 64.3
4 a A3                     pierde en 10             30.2 / 67.3
1 a B3                     pierde en 12             29.0 / 68.0
1 a C1                     pierde en 12             28.5 / 66.0
3 a C1                     pierde en 12             28.0 / 66.3
2 a C1                     pierde en 12             27.7 / 68.2
2 a B1                     pierde en 12             27.3 / 70.5
1 a C2                     pierde en 12             26.5 / 69.8
1 a B1                     pierde en 12             18.5 / 79.7
4 a C3                     pierde en 12             16.2 / 77.0
3 a C3                     pierde en 10             14.8 / 79.0
mueve 4 a B1               pierde en 6              14.8 / 83.0
2 a C3                     pierde en 12             14.0 / 81.2
1 a C3                     pierde en 12             13.3 / 81.5

Jugadas que no pierden en teoria a 12 plies: 0 de 25.
