ap_pieza,ap_casilla,ap_celda,pieza,celda,tipo,en_linea,teoria,plies,gana1,gana2,sindef
1,esquina,A1,5,C3,esquina,1,BlackWin,14,24.9,73.7,1.4
1,esquina,A1,5,B3,lado,0,Draw,14,32.5,66.6,0.9
1,esquina,A1,5,A2,lado,1,Draw,14,34.0,64.0,1.9
1,esquina,A1,2,A2,lado,1,WhiteWin,13,38.1,61.0,0.9
1,esquina,A1,3,A2,lado,1,WhiteWin,13,38.6,60.2,1.1
1,esquina,A1,3,C3,esquina,1,Draw,14,39.5,58.8,1.8
1,esquina,A1,2,C3,esquina,1,Draw,14,50.0,48.2,1.8
1,esquina,A1,1,C3,esquina,1,Draw,14,55.1,43.6,1.2
1,esquina,A1,5,A3,esquina,1,WhiteWin,9,55.4,43.5,1.1
1,esquina,A1,1,A2,lado,1,WhiteWin,7,58.3,41.0,0.7
1,esquina,A1,3,B3,lado,0,WhiteWin,7,58.9,40.2,0.8
1,esquina,A1,3,A3,esquina,1,WhiteWin,7,63.3,36.0,0.8
1,esquina,A1,1,B3,lado,0,WhiteWin,7,65.8,33.0,1.1
1,esquina,A1,2,A3,esquina,1,WhiteWin,7,67.2,31.9,0.9
1,esquina,A1,1,A3,esquina,1,WhiteWin,7,68.2,30.9,0.8
1,esquina,A1,2,B3,lado,0,WhiteWin,7,68.2,30.6,1.2
2,esquina,A1,5,C3,esquina,1,BlackWin,14,27.4,71.2,1.4
2,esquina,A1,5,B3,lado,0,Draw,14,29.8,68.5,1.6
2,esquina,A1,5,A2,lado,1,Draw,14,30.4,68.2,1.4
2,esquina,A1,3,A2,lado,1,WhiteWin,13,34.8,64.1,1.1
2,esquina,A1,3,C3,esquina,1,Draw,14,40.5,57.6,1.9
2,esquina,A1,1,C3,esquina,1,Draw,14,46.5,52.9,0.7
2,esquina,A1,2,C3,esquina,1,Draw,14,45.1,52.8,2.1
2,esquina,A1,1,A2,lado,1,WhiteWin,7,54.8,44.1,1.1
2,esquina,A1,2,A2,lado,1,WhiteWin,7,56.2,43.0,0.8
2,esquina,A1,5,A3,esquina,1,WhiteWin,9,56.2,42.9,0.9
2,esquina,A1,2,B3,lado,0,WhiteWin,7,59.8,39.4,0.9
2,esquina,A1,3,B3,lado,0,WhiteWin,7,62.4,36.1,1.6
2,esquina,A1,3,A3,esquina,1,WhiteWin,7,63.7,35.2,1.1
2,esquina,A1,2,A3,esquina,1,WhiteWin,7,64.8,33.9,1.3
2,esquina,A1,1,A3,esquina,1,WhiteWin,7,66.3,33.0,0.7
2,esquina,A1,1,B3,lado,0,WhiteWin,7,68.7,30.8,0.6
3,esquina,A1,5,B3,lado,0,Draw,14,27.6,70.5,1.9
3,esquina,A1,5,A2,lado,1,Draw,14,27.9,70.2,1.9
3,esquina,A1,5,C3,esquina,1,BlackWin,14,29.5,68.9,1.6
3,esquina,A1,2,C3,esquina,1,Draw,14,35.8,63.3,0.9
3,esquina,A1,3,C3,esquina,1,WhiteWin,13,38.0,60.5,1.5
3,esquina,A1,1,C3,esquina,1,Draw,14,42.7,55.9,1.4
3,esquina,A1,3,B3,lado,0,WhiteWin,7,50.8,47.3,1.9
3,esquina,A1,3,A2,lado,1,WhiteWin,7,53.8,45.5,0.7
3,esquina,A1,2,A2,lado,1,WhiteWin,7,54.1,44.2,1.6
3,esquina,A1,1,A2,lado,1,WhiteWin,7,55.8,43.4,0.8
3,esquina,A1,5,A3,esquina,1,WhiteWin,9,56.5,42.2,1.2
3,esquina,A1,2,B3,lado,0,WhiteWin,7,59.0,40.3,0.8
3,esquina,A1,3,A3,esquina,1,WhiteWin,7,61.2,37.9,0.9
3,esquina,A1,2,A3,esquina,1,WhiteWin,7,63.5,35.7,0.8
3,esquina,A1,1,A3,esquina,1,WhiteWin,7,67.3,31.6,1.1
3,esquina,A1,1,B3,lado,0,WhiteWin,7,69.2,30.4,0.5
4,esquina,A1,5,B3,lado,0,Draw,14,28.6,69.7,1.7
4,esquina,A1,5,A2,lado,1,BlackWin,14,28.8,69.7,1.5
4,esquina,A1,3,C3,esquina,1,WhiteWin,13,33.7,65.2,1.1
4,esquina,A1,5,C3,esquina,1,WhiteWin,9,35.6,62.7,1.6
4,esquina,A1,2,C3,esquina,1,Draw,14,42.5,56.0,1.5
4,esquina,A1,3,B3,lado,0,WhiteWin,7,50.1,49.0,0.9
4,esquina,A1,1,C3,esquina,1,Draw,14,50.0,48.5,1.4
4,esquina,A1,5,A3,esquina,1,WhiteWin,9,58.0,40.9,1.1
4,esquina,A1,3,A2,lado,1,WhiteWin,7,57.6,40.5,1.9
4,esquina,A1,2,A2,lado,1,WhiteWin,7,58.6,40.3,1.1
4,esquina,A1,1,A2,lado,1,WhiteWin,7,58.8,40.3,0.9
4,esquina,A1,2,B3,lado,0,WhiteWin,7,60.3,38.6,1.1
4,esquina,A1,3,A3,esquina,1,WhiteWin,7,60.3,38.2,1.5
4,esquina,A1,2,A3,esquina,1,WhiteWin,7,65.0,33.4,1.6
4,esquina,A1,1,B3,lado,0,WhiteWin,7,69.5,29.4,1.1
4,esquina,A1,1,A3,esquina,1,WhiteWin,7,70.2,28.4,1.4
1,lado,A2,5,C2,lado,1,Draw,14,15.6,83.5,0.9
1,lado,A2,5,B1,lado,0,BlackWin,14,23.4,76.0,0.5
1,lado,A2,5,A1,esquina,1,BlackWin,14,29.6,69.1,1.2
1,lado,A2,5,C1,esquina,0,WhiteWin,9,36.3,63.1,0.6
1,lado,A2,3,A1,esquina,1,Draw,14,37.8,61.3,0.9
1,lado,A2,2,A1,esquina,1,Draw,14,39.0,60.2,0.8
1,lado,A2,3,C2,lado,1,WhiteWin,9,42.4,56.4,1.2
1,lado,A2,1,A1,esquina,1,WhiteWin,9,44.5,54.7,0.8
1,lado,A2,2,C2,lado,1,WhiteWin,9,47.0,51.9,1.2
1,lado,A2,3,B1,lado,0,WhiteWin,9,48.9,50.2,0.9
1,lado,A2,3,C1,esquina,0,WhiteWin,9,49.5,49.5,1.0
1,lado,A2,1,C2,lado,1,WhiteWin,9,51.2,47.6,1.1
1,lado,A2,2,C1,esquina,0,WhiteWin,9,52.3,46.3,1.4
1,lado,A2,2,B1,lado,0,WhiteWin,9,54.9,44.5,0.7
1,lado,A2,1,C1,esquina,0,WhiteWin,9,56.1,43.0,0.9
1,lado,A2,1,B1,lado,0,WhiteWin,9,57.3,41.9,0.8
2,lado,A2,5,C2,lado,1,Draw,14,20.1,78.9,0.9
2,lado,A2,5,B1,lado,0,BlackWin,14,29.1,69.8,1.1
2,lado,A2,5,A1,esquina,1,BlackWin,14,28.8,69.4,1.8
2,lado,A2,3,A1,esquina,1,Draw,14,35.5,63.9,0.6
2,lado,A2,5,C1,esquina,0,WhiteWin,9,37.1,62.0,0.8
2,lado,A2,2,A1,esquina,1,WhiteWin,9,41.8,57.7,0.6
2,lado,A2,3,C2,lado,1,WhiteWin,9,41.7,56.9,1.4
2,lado,A2,2,C2,lado,1,WhiteWin,9,42.5,56.0,1.5
2,lado,A2,1,C2,lado,1,WhiteWin,9,47.0,52.5,0.5
2,lado,A2,3,C1,esquina,0,WhiteWin,9,48.7,50.5,0.8
2,lado,A2,3,B1,lado,0,WhiteWin,9,48.3,50.4,1.4
2,lado,A2,1,A1,esquina,1,WhiteWin,9,47.6,50.0,2.4
2,lado,A2,2,C1,esquina,0,WhiteWin,9,49.4,49.1,1.4
2,lado,A2,2,B1,lado,0,WhiteWin,9,50.1,48.7,1.1
2,lado,A2,1,C1,esquina,0,WhiteWin,9,53.0,46.4,0.7
2,lado,A2,1,B1,lado,0,WhiteWin,9,52.0,46.4,1.6
3,lado,A2,5,C2,lado,1,Draw,14,25.5,73.2,1.2
3,lado,A2,5,A1,esquina,1,BlackWin,14,27.8,70.5,1.7
3,lado,A2,5,B1,lado,0,BlackWin,14,30.8,67.8,1.5
3,lado,A2,3,A1,esquina,1,WhiteWin,9,36.9,62.6,0.6
3,lado,A2,5,C1,esquina,0,WhiteWin,9,38.2,60.6,1.1
3,lado,A2,2,C2,lado,1,WhiteWin,9,43.9,55.2,0.9
3,lado,A2,3,C2,lado,1,WhiteWin,9,43.6,55.0,1.4
3,lado,A2,2,C1,esquina,0,WhiteWin,9,46.0,53.4,0.6
3,lado,A2,1,A1,esquina,1,WhiteWin,9,45.1,53.2,1.7
3,lado,A2,3,C1,esquina,0,WhiteWin,9,46.0,52.6,1.4
3,lado,A2,1,C2,lado,1,WhiteWin,9,46.6,52.1,1.3
3,lado,A2,2,A1,esquina,1,WhiteWin,9,46.2,51.7,2.1
3,lado,A2,2,B1,lado,0,WhiteWin,9,47.2,51.5,1.3
3,lado,A2,1,C1,esquina,0,WhiteWin,9,50.1,48.8,1.1
3,lado,A2,3,B1,lado,0,WhiteWin,9,50.0,48.6,1.3
3,lado,A2,1,B1,lado,0,WhiteWin,9,53.8,45.0,1.2
4,lado,A2,5,C2,lado,1,Draw,14,30.4,68.5,1.2
4,lado,A2,5,A1,esquina,1,BlackWin,14,30.1,68.3,1.6
4,lado,A2,5,B1,lado,0,BlackWin,14,33.0,66.0,1.1
4,lado,A2,3,C2,lado,1,WhiteWin,9,43.0,56.3,0.7
4,lado,A2,3,C1,esquina,0,WhiteWin,9,43.6,55.5,0.8
4,lado,A2,5,C1,esquina,0,WhiteWin,9,43.6,54.6,1.8
4,lado,A2,2,A1,esquina,1,WhiteWin,9,43.9,54.6,1.6
4,lado,A2,1,A1,esquina,1,WhiteWin,9,45.2,53.5,1.3
4,lado,A2,3,A1,esquina,1,WhiteWin,9,44.9,53.1,1.9
4,lado,A2,2,C2,lado,1,WhiteWin,9,46.5,52.5,1.0
4,lado,A2,3,B1,lado,0,WhiteWin,9,46.8,51.6,1.6
4,lado,A2,2,C1,esquina,0,WhiteWin,9,48.4,50.1,1.4
4,lado,A2,1,C2,lado,1,WhiteWin,9,49.6,49.0,1.4
4,lado,A2,1,C1,esquina,0,WhiteWin,9,52.9,45.8,1.3
4,lado,A2,2,B1,lado,0,WhiteWin,9,53.1,45.6,1.2
4,lado,A2,1,B1,lado,0,WhiteWin,9,58.9,40.1,1.1
