ap_pieza,ap_casilla,ap_celda,pieza,celda,tipo,en_linea,teoria,plies,gana1,gana2,sindef
1,esquina,A1,5,C3,esquina,1,BlackWin,14,31.9,67.1,1.1
1,esquina,A1,5,B3,lado,0,Draw,14,37.2,61.5,1.2
1,esquina,A1,5,A3,esquina,1,WhiteWin,9,39.7,59.0,1.2
1,esquina,A1,5,A2,lado,1,Draw,14,41.0,57.9,1.1
1,esquina,A1,2,A2,lado,1,WhiteWin,13,45.6,53.4,0.9
1,esquina,A1,3,A2,lado,1,WhiteWin,13,46.6,51.6,1.7
1,esquina,A1,3,A3,esquina,1,WhiteWin,7,47.7,51.2,1.1
1,esquina,A1,1,A3,esquina,1,WhiteWin,7,48.0,50.2,1.8
1,esquina,A1,3,C3,esquina,1,Draw,14,49.1,49.8,1.1
1,esquina,A1,2,A3,esquina,1,WhiteWin,7,50.5,48.1,1.4
1,esquina,A1,1,C3,esquina,1,Draw,14,51.4,47.5,1.1
1,esquina,A1,2,C3,esquina,1,Draw,14,51.5,47.2,1.2
1,esquina,A1,3,B3,lado,0,WhiteWin,7,55.4,43.6,1.0
1,esquina,A1,1,A2,lado,1,WhiteWin,7,58.0,41.3,0.7
1,esquina,A1,1,B3,lado,0,WhiteWin,7,59.1,40.0,0.8
1,esquina,A1,2,B3,lado,0,WhiteWin,7,60.5,38.4,1.1
2,esquina,A1,5,C3,esquina,1,BlackWin,14,32.5,66.0,1.4
2,esquina,A1,5,A2,lado,1,Draw,14,38.2,60.4,1.4
2,esquina,A1,5,B3,lado,0,Draw,14,38.8,60.0,1.3
2,esquina,A1,5,A3,esquina,1,WhiteWin,9,39.0,60.0,1.0
2,esquina,A1,3,A2,lado,1,WhiteWin,13,45.3,54.1,0.6
2,esquina,A1,1,C3,esquina,1,Draw,14,45.7,53.3,1.0
2,esquina,A1,2,A3,esquina,1,WhiteWin,7,46.2,52.2,1.6
2,esquina,A1,3,C3,esquina,1,Draw,14,47.0,51.1,1.9
2,esquina,A1,2,C3,esquina,1,Draw,14,47.4,50.5,2.1
2,esquina,A1,3,A3,esquina,1,WhiteWin,7,49.5,49.5,1.1
2,esquina,A1,1,A3,esquina,1,WhiteWin,7,49.8,49.1,1.1
2,esquina,A1,2,A2,lado,1,WhiteWin,7,54.8,44.4,0.8
2,esquina,A1,2,B3,lado,0,WhiteWin,7,54.5,44.3,1.2
2,esquina,A1,1,B3,lado,0,WhiteWin,7,56.5,42.5,1.1
2,esquina,A1,3,B3,lado,0,WhiteWin,7,57.0,41.8,1.2
2,esquina,A1,1,A2,lado,1,WhiteWin,7,58.0,40.3,1.6
3,esquina,A1,5,C3,esquina,1,BlackWin,14,33.5,64.8,1.8
3,esquina,A1,5,A2,lado,1,Draw,14,36.5,62.7,0.8
3,esquina,A1,5,A3,esquina,1,WhiteWin,9,38.7,60.0,1.4
3,esquina,A1,5,B3,lado,0,Draw,14,40.8,58.0,1.1
3,esquina,A1,2,C3,esquina,1,Draw,14,41.0,57.7,1.4
3,esquina,A1,3,C3,esquina,1,WhiteWin,13,42.9,55.5,1.6
3,esquina,A1,3,A3,esquina,1,WhiteWin,7,45.8,52.9,1.3
3,esquina,A1,1,C3,esquina,1,Draw,14,45.1,52.8,2.1
3,esquina,A1,2,A3,esquina,1,WhiteWin,7,47.9,51.1,0.9
3,esquina,A1,1,A3,esquina,1,WhiteWin,7,51.1,48.0,0.9
3,esquina,A1,3,A2,lado,1,WhiteWin,7,51.3,47.8,0.9
3,esquina,A1,3,B3,lado,0,WhiteWin,7,51.6,47.2,1.1
3,esquina,A1,2,B3,lado,0,WhiteWin,7,55.5,43.7,0.8
3,esquina,A1,1,A2,lado,1,WhiteWin,7,56.3,42.5,1.2
3,esquina,A1,2,A2,lado,1,WhiteWin,7,57.9,40.5,1.6
3,esquina,A1,1,B3,lado,0,WhiteWin,7,61.4,37.7,0.9
