white,black,white_sum,black_sum,verdict,plies,nodes,ms
13444,11124,16,9,white,7,29242,32
13444,111245,16,14,black,14,1331681,1521
13444,11125,16,10,white,11,180661,199
13444,1114,16,7,white,7,20959,20
13444,11145,16,12,white,25,3421627,2841
13444,1115,16,8,white,11,94151,83
13444,1122,16,6,white,7,13872,5
13444,11224,16,10,white,7,31544,131
13444,112245,16,15,black,14,1575934,2251
13444,11225,16,11,white,11,217214,294
13444,1124,16,8,white,7,28862,30
13444,11245,16,13,white,25,12362292,13885
13444,1125,16,9,white,11,174009,146
13444,1145,16,11,white,13,321913,292
13444,1224,16,9,white,7,29930,59
13444,12245,16,14,white,25,16384902,12118
13444,1225,16,10,white,11,185816,146
13444,1245,16,12,white,13,541192,382
13444,2245,16,13,white,13,397815,305
1444,1112,13,5,white,7,6369,5
1444,11122,13,7,white,7,7962,7
1444,111224,13,11,white,7,14169,13
1444,111225,13,12,white,13,373014,288
1444,11124,13,9,white,7,12494,11
1444,111245,13,14,black,10,160774,130
1444,11125,13,10,white,13,269810,213
1444,1114,13,7,white,7,8003,7
1444,11145,13,12,black,12,176605,142
1444,1115,13,8,white,12,89834,79
1444,1122,13,6,white,7,7806,7
1444,11224,13,10,white,7,13941,16
1444,112245,13,15,black,10,186677,194
1444,11225,13,11,white,13,331735,423
1444,1124,13,8,white,7,12266,18
1444,11245,13,13,black,10,147838,170
1444,1125,13,9,white,13,267094,222
1444,1145,13,11,black,16,998619,839
1444,1224,13,9,white,7,12609,13
1444,12245,13,14,black,10,150081,132
1444,1225,13,10,white,13,290384,221
1444,1245,13,12,black,16,1516292,965
1444,2245,13,13,black,16,1188377,837
3334,1112,13,5,white,7,4722,4
3334,11122,13,7,white,7,5317,4
3334,111224,13,11,white,7,17581,8
3334,111225,13,12,white,13,269314,232
3334,11124,13,9,white,7,15983,26
3334,111245,13,14,black,10,209600,362
3334,11125,13,10,white,13,223517,234
3334,1114,13,7,white,7,10238,11
3334,11145,13,12,black,10,112597,283
3334,1115,13,8,white,12,103765,62
3334,1122,13,6,white,7,5219,5
3334,11224,13,10,white,7,17379,16
3334,112245,13,15,black,10,225669,356
3334,11225,13,11,white,13,237196,329
3334,1124,13,8,white,7,15781,16
3334,11245,13,13,black,10,192608,325
3334,1125,13,9,white,12,186415,263
3334,1145,13,11,black,14,896736,992
3334,1224,13,9,white,7,15877,24
3334,12245,13,14,black,10,177746,319
3334,1225,13,10,white,12,179425,271
3334,1245,13,12,black,14,1390738,1549
3334,2245,13,13,black,14,896736,796
33344,1112,17,5,white,7,5837,7
33344,11122,17,7,white,7,6432,7
33344,111224,17,11,white,7,22264,25
33344,111225,17,12,white,11,117295,175
33344,11124,17,9,white,7,20536,21
33344,111245,17,14,black,12,469400,627
33344,11125,17,10,white,11,100513,124
33344,1114,17,7,white,7,13630,14
33344,11145,17,12,black,12,261253,332
33344,1115,17,8,white,11,59445,74
33344,1122,17,6,white,7,6334,7
33344,11224,17,10,white,7,22038,21
33344,112245,17,15,black,12,483747,635
33344,11225,17,11,white,11,112929,147
33344,1124,17,8,white,7,20310,21
33344,11245,17,13,black,12,416447,395
33344,1125,17,9,white,11,97224,113
33344,1145,17,11,white,13,255659,237
33344,1224,17,9,white,7,20614,23
33344,12245,17,14,black,12,384466,530
33344,1225,17,10,white,11,95610,130
33344,1245,17,12,white,13,374402,344
33344,2245,17,13,white,13,255659,318
333444,1112,21,5,white,7,6038,23
333444,11122,21,7,white,7,6633,6
