white,black,regla,ve,gana1,gana2,sindef,turnos
11234,23355,fijo,2,37.40,62.57,0.03,10.11
11234,23355,libre,2,39.10,60.87,0.03,9.91
11234,23445,fijo,2,32.63,67.37,0.00,10.09
11234,23445,libre,2,37.70,62.30,0.00,9.72
11234,23455,fijo,2,32.47,67.53,0.00,10.06
11234,23455,libre,2,35.93,64.07,0.00,9.81
11234,24455,fijo,2,31.00,69.00,0.00,9.85
11234,24455,libre,2,33.17,66.83,0.00,9.63
11234,33445,fijo,2,31.63,68.37,0.00,9.86
11234,33445,libre,2,32.53,67.47,0.00,9.72
11234,33455,fijo,2,31.27,68.73,0.00,9.89
11234,33455,libre,2,33.30,66.70,0.00,9.64
11234,34455,fijo,2,28.97,71.03,0.00,9.74
11234,34455,libre,2,31.23,68.77,0.00,9.52
11244,11235,fijo,2,56.60,42.60,0.80,10.74
11244,11235,libre,2,58.00,41.33,0.67,10.39
11244,11335,fijo,2,54.20,45.10,0.70,10.77
11244,11335,libre,2,57.63,41.73,0.63,10.46
11244,11345,fijo,2,47.20,52.50,0.30,10.59
11244,11345,libre,2,50.13,49.30,0.57,10.28
11244,11355,fijo,2,43.63,56.17,0.20,10.67
11244,11355,libre,2,48.33,51.43,0.23,10.27
11244,12235,fijo,2,52.40,47.13,0.47,10.64
11244,12235,libre,2,55.27,43.93,0.80,10.38
11244,12335,fijo,2,52.80,46.63,0.57,10.65
11244,12335,libre,2,52.83,46.60,0.57,10.36
11244,12345,fijo,2,43.73,56.03,0.23,10.40
11244,12345,libre,2,47.13,52.37,0.50,10.17
11244,12355,fijo,2,44.60,55.07,0.33,10.45
11244,12355,libre,2,46.53,53.40,0.07,10.11
11244,13345,fijo,2,42.70,57.07,0.23,10.54
11244,13345,libre,2,46.17,53.53,0.30,10.27
11244,13355,fijo,2,40.93,58.80,0.27,10.55
11244,13355,libre,2,44.70,55.13,0.17,10.09
11244,13445,fijo,2,38.40,61.53,0.07,10.32
11244,13445,libre,2,40.87,59.13,0.00,9.98
11244,13455,fijo,2,38.57,61.37,0.07,10.19
11244,13455,libre,2,40.47,59.53,0.00,9.94
11244,22335,fijo,2,45.60,54.10,0.30,10.64
11244,22335,libre,2,49.63,50.00,0.37,10.36
11244,22345,fijo,2,40.60,59.23,0.17,10.44
11244,22345,libre,2,43.33,56.43,0.23,10.21
11244,22355,fijo,2,37.90,62.03,0.07,10.46
11244,22355,libre,2,42.40,57.53,0.07,10.17
11244,23345,fijo,2,39.17,60.63,0.20,10.45
11244,23345,libre,2,43.40,56.43,0.17,10.17
11244,23355,fijo,2,36.97,62.93,0.10,10.50
11244,23355,libre,2,41.33,58.63,0.03,10.12
11244,23445,fijo,2,35.97,64.00,0.03,10.19
11244,23445,libre,2,38.73,61.27,0.00,9.94
11244,23455,fijo,2,35.87,64.07,0.07,10.13
11244,23455,libre,2,39.00,61.00,0.00,9.92
11244,33445,fijo,2,33.60,66.40,0.00,10.25
11244,33445,libre,2,36.57,63.43,0.00,9.98
11244,33455,fijo,2,32.57,67.40,0.03,10.23
11244,33455,libre,2,36.60,63.40,0.00,9.95
11244,34455,fijo,2,29.17,70.83,0.00,10.07
11244,34455,libre,2,33.00,67.00,0.00,9.78
11334,11225,fijo,2,65.10,34.23,0.67,10.64
11334,11225,libre,2,66.87,32.53,0.60,10.40
11334,11235,fijo,2,57.70,41.73,0.57,10.70
11334,11235,libre,2,59.77,39.83,0.40,10.17
11334,11245,fijo,2,46.23,53.27,0.50,10.78
11334,11245,libre,2,51.17,48.47,0.37,10.23
11334,11255,fijo,2,49.40,50.07,0.53,10.69
11334,11255,libre,2,51.83,47.73,0.43,10.22
11334,12235,fijo,2,56.47,42.77,0.77,10.69
11334,12235,libre,2,57.97,41.63,0.40,10.27
11334,12245,fijo,2,44.90,54.73,0.37,10.71
11334,12245,libre,2,49.93,49.83,0.23,10.30
11334,12255,fijo,2,48.03,51.50,0.47,10.75
11334,12255,libre,2,49.40,50.17,0.43,10.25
11334,12335,fijo,2,53.87,45.77,0.37,10.68
11334,12335,libre,2,54.77,44.83,0.40,10.19
11334,12345,fijo,2,41.83,57.80,0.37,10.58
11334,12345,libre,2,46.07,53.63,0.30,10.06
11334,12355,fijo,2,45.37,54.27,0.37,10.46
11334,12355,libre,2,46.90,52.90,0.20,9.99
11334,12445,fijo,2,38.20,61.77,0.03,10.42
11334,12445,libre,2,42.77,57.23,0.00,9.94
11334,12455,fijo,2,37.47,62.50,0.03,10.32
11334,12455,libre,2,41.90,58.10,0.00,9.93
11334,22335,fijo,2,50.43,49.03,0.53,10.82
11334,22335,libre,2,51.90,47.67,0.43,10.53
11334,22345,fijo,2,38.50,61.27,0.23,10.57
11334,22345,libre,2,42.93,57.00,0.07,10.19
11334,22355,fijo,2,41.77,58.17,0.07,10.57
11334,22355,libre,2,44.77,54.83,0.40,10.31
11334,22445,fijo,2,35.50,64.43,0.07,10.40
11334,22445,libre,2,39.20,60.80,0.00,10.14
11334,22455,fijo,2,35.00,64.97,0.03,10.45
11334,22455,libre,2,39.83,60.17,0.00,10.11
11334,23345,fijo,2,35.97,63.87,0.17,10.42
11334,23345,libre,2,40.93,59.07,0.00,10.08
11334,23355,fijo,2,39.17,60.83,0.00,10.38
11334,23355,libre,2,42.33,57.63,0.03,10.01
11334,23445,fijo,2,32.67,67.33,0.00,10.26
11334,23445,libre,2,37.80,62.20,0.00,9.92
11334,23455,fijo,2,32.80,67.20,0.00,10.24
11334,23455,libre,2,36.17,63.83,0.00,9.94
11334,24455,fijo,2,31.23,68.77,0.00,10.09
11334,24455,libre,2,34.60,65.40,0.00,9.78
11344,11225,fijo,2,63.70,35.93,0.37,10.62
11344,11225,libre,2,66.40,33.03,0.57,10.37
11344,11235,fijo,2,61.63,37.70,0.67,10.72
11344,11235,libre,2,63.37,36.10,0.53,10.32
11344,11245,fijo,2,51.43,47.97,0.60,10.63
11344,11245,libre,2,55.03,44.50,0.47,10.37
11344,11255,fijo,2,47.50,52.13,0.37,10.67
11344,11255,libre,2,51.83,47.83,0.33,10.31
11344,12235,fijo,2,59.53,39.27,1.20,10.92
11344,12235,libre,2,62.00,37.33,0.67,10.43
11344,12245,fijo,2,49.03,50.40,0.57,10.65
11344,12245,libre,2,52.63,46.90,0.47,10.42
11344,12255,fijo,2,46.57,52.93,0.50,10.71
11344,12255,libre,2,49.83,49.67,0.50,10.25
11344,12335,fijo,2,58.83,40.40,0.77,10.74
11344,12335,libre,2,59.60,39.77,0.63,10.27
11344,12345,fijo,2,48.60,51.10,0.30,10.48
11344,12345,libre,2,50.50,49.03,0.47,10.26
11344,12355,fijo,2,48.33,51.33,0.33,10.52
11344,12355,libre,2,50.47,49.33,0.20,10.11
11344,12445,fijo,2,41.83,58.13,0.03,10.42
11344,12445,libre,2,44.20,55.77,0.03,10.05
11344,12455,fijo,2,41.83,58.10,0.07,10.27
11344,12455,libre,2,43.57,56.43,0.00,9.97
11344,22335,fijo,2,53.00,45.93,1.07,10.93
11344,22335,libre,2,56.23,43.23,0.53,10.49
11344,22345,fijo,2,46.53,52.87,0.60,10.69
11344,22345,libre,2,47.83,51.47,0.70,10.46
11344,22355,fijo,2,43.07,56.63,0.30,10.71
11344,22355,libre,2,47.13,52.67,0.20,10.38
11344,22445,fijo,2,37.90,62.10,0.00,10.42
11344,22445,libre,2,40.83,59.13,0.03,10.20
11344,22455,fijo,2,36.63,63.33,0.03,10.39
11344,22455,libre,2,40.23,59.77,0.00,10.15
11344,23345,fijo,2,43.47,56.13,0.40,10.53
11344,23345,libre,2,46.87,52.60,0.53,10.38
11344,23355,fijo,2,41.50,58.30,0.20,10.61
11344,23355,libre,2,45.57,54.23,0.20,10.13
11344,23445,fijo,2,38.50,61.47,0.03,10.34
11344,23445,libre,2,40.17,59.80,0.03,10.06
11344,23455,fijo,2,38.73,61.20,0.07,10.24
11344,23455,libre,2,40.43,59.57,0.00,10.02
11344,24455,fijo,2,31.60,68.40,0.00,10.17
11344,24455,libre,2,34.77,65.23,0.00,9.86
12234,11225,fijo,2,67.13,32.30,0.57,10.47
12234,11225,libre,2,69.87,29.77,0.37,9.87
12234,11235,fijo,2,57.60,41.63,0.77,10.74
12234,11235,libre,2,59.13,40.37,0.50,10.15
12234,11245,fijo,2,49.97,49.17,0.87,10.77
12234,11245,libre,2,52.87,46.63,0.50,10.21
12234,11255,fijo,2,51.63,47.53,0.83,10.62
12234,11255,libre,2,57.33,42.20,0.47,9.95
12234,11335,fijo,2,52.47,47.07,0.47,10.65
12234,11335,libre,2,56.23,43.30,0.47,10.12
12234,11345,fijo,2,43.27,55.97,0.77,10.74
12234,11345,libre,2,47.97,51.87,0.17,10.01
12234,11355,fijo,2,45.03,54.40,0.57,10.52
12234,11355,libre,2,50.90,48.73,0.37,10.06
12234,11445,fijo,2,40.93,59.03,0.03,10.26
12234,11445,libre,2,45.60,54.37,0.03,9.94
12234,11455,fijo,2,40.33,59.63,0.03,10.26
12234,11455,libre,2,46.23,53.77,0.00,9.94
12234,12235,fijo,2,56.30,43.40,0.30,10.56
12234,12235,libre,2,58.63,41.17,0.20,10.10
12234,12245,fijo,2,48.33,51.40,0.27,10.51
12234,12245,libre,2,51.73,47.97,0.30,10.13
12234,12255,fijo,2,49.73,49.87,0.40,10.40
12234,12255,libre,2,52.97,46.83,0.20,9.90
12234,12335,fijo,2,50.93,48.57,0.50,10.45
12234,12335,libre,2,52.83,46.90,0.27,10.03
12234,12345,fijo,2,41.23,58.67,0.10,10.33
12234,12345,libre,2,44.63,55.03,0.33,9.97
12234,12355,fijo,2,44.83,54.90,0.27,10.43
12234,12355,libre,2,47.67,52.23,0.10,9.93
12234,12445,fijo,2,40.97,59.03,0.00,10.19
12234,12445,libre,2,44.63,55.33,0.03,9.84
12234,12455,fijo,2,40.13,59.87,0.00,10.17
12234,12455,libre,2,43.33,56.67,0.00,9.82
12234,13345,fijo,2,40.03,59.97,0.00,10.37
12234,13345,libre,2,44.17,55.77,0.07,9.91
12234,13355,fijo,2,41.43,58.53,0.03,10.32
12234,13355,libre,2,45.10,54.90,0.00,9.87
12234,13445,fijo,2,36.47,63.53,0.00,10.15
12234,13445,libre,2,41.03,58.93,0.03,9.80
12234,13455,fijo,2,35.97,64.03,0.00,10.18
12234,13455,libre,2,40.20,59.80,0.00,9.81
12234,14455,fijo,2,34.97,65.03,0.00,9.95
12234,14455,libre,2,38.27,61.73,0.00,9.64
12234,22335,fijo,2,44.37,55.27,0.37,10.57
12234,22335,libre,2,48.73,51.17,0.10,10.07
12234,22345,fijo,2,38.13,61.77,0.10,10.40
12234,22345,libre,2,41.67,58.23,0.10,9.91
12234,22355,fijo,2,38.73,61.20,0.07,10.31
12234,22355,libre,2,44.10,55.87,0.03,9.98
12234,22445,fijo,2,34.30,65.67,0.03,10.19
12234,22445,libre,2,38.43,61.57,0.00,9.91
12234,22455,fijo,2,34.47,65.50,0.03,10.09
12234,22455,libre,2,39.67,60.33,0.00,9.91
12234,23345,fijo,2,35.50,64.50,0.00,10.27
12234,23345,libre,2,40.10,59.87,0.03,9.88
12234,23355,fijo,2,36.50,63.50,0.00,10.22
12234,23355,libre,2,41.20,58.80,0.00,9.87
12234,23445,fijo,2,32.57,67.43,0.00,10.11
12234,23445,libre,2,38.27,61.73,0.00,9.71
12234,23455,fijo,2,32.70,67.30,0.00,10.11
12234,23455,libre,2,37.27,62.73,0.00,9.80
12234,24455,fijo,2,30.50,69.50,0.00,9.92
12234,24455,libre,2,34.50,65.50,0.00,9.61
12234,33445,fijo,2,29.80,70.20,0.00,9.95
12234,33445,libre,2,34.03,65.97,0.00,9.70
12234,33455,fijo,2,30.10,69.90,0.00,9.90
12234,33455,libre,2,34.83,65.17,0.00,9.70
12234,34455,fijo,2,28.70,71.30,0.00,9.82
12234,34455,libre,2,31.73,68.27,0.00,9.56
12244,11235,fijo,2,59.33,40.07,0.60,10.68
12244,11235,libre,2,63.20,36.17,0.63,10.25
12244,11335,fijo,2,57.73,41.13,1.13,10.81
12244,11335,libre,2,60.47,38.93,0.60,10.28
12244,11345,fijo,2,48.10,51.50,0.40,10.72
12244,11345,libre,2,51.70,47.80,0.50,10.30
12244,11355,fijo,2,48.47,51.13,0.40,10.59
12244,11355,libre,2,51.90,47.60,0.50,10.28
12244,12235,fijo,2,54.83,44.50,0.67,10.61
12244,12235,libre,2,58.77,40.83,0.40,10.14
