white,black,regla,ve,gana1,gana2,sindef,turnos
11224,11235,fijo,4,46.37,53.27,0.37,10.02
11224,11235,libre,4,51.50,48.13,0.37,9.80
11224,11335,fijo,4,43.77,55.83,0.40,10.09
11224,11335,libre,4,49.93,49.93,0.13,9.79
11224,11345,fijo,4,31.17,68.73,0.10,9.96
11224,11345,libre,4,36.23,63.37,0.40,9.87
11224,11355,fijo,4,33.43,66.30,0.27,10.05
11224,11355,libre,4,37.77,62.13,0.10,9.74
11224,12235,fijo,4,42.17,57.70,0.13,9.95
11224,12235,libre,4,47.30,52.57,0.13,9.74
11224,12335,fijo,4,39.30,60.63,0.07,9.92
11224,12335,libre,4,45.87,54.10,0.03,9.64
11224,12345,fijo,4,29.60,70.40,0.00,9.88
11224,12345,libre,4,34.00,66.00,0.00,9.65
11224,12355,fijo,4,30.87,69.07,0.07,9.93
11224,12355,libre,4,35.50,64.47,0.03,9.74
11224,13345,fijo,4,28.77,71.17,0.07,9.98
11224,13345,libre,4,34.27,65.70,0.03,9.71
11224,13355,fijo,4,31.40,68.60,0.00,9.82
11224,13355,libre,4,35.63,64.33,0.03,9.73
11224,13445,fijo,4,25.17,74.80,0.03,9.96
11224,13445,libre,4,29.37,70.60,0.03,9.83
11224,13455,fijo,4,24.47,75.53,0.00,9.98
11224,13455,libre,4,28.23,71.73,0.03,9.81
11224,22335,fijo,4,33.00,67.00,0.00,9.84
11224,22335,libre,4,38.00,62.00,0.00,9.78
11224,22345,fijo,4,23.00,77.00,0.00,9.89
11224,22345,libre,4,27.00,73.00,0.00,9.86
11224,22355,fijo,4,24.97,75.03,0.00,9.88
11224,22355,libre,4,28.87,71.13,0.00,9.74
11224,23345,fijo,4,23.23,76.77,0.00,10.05
11224,23345,libre,4,27.43,72.57,0.00,9.75
11224,23355,fijo,4,25.47,74.53,0.00,9.97
11224,23355,libre,4,28.97,71.03,0.00,9.82
11224,23445,fijo,4,19.77,80.23,0.00,10.01
11224,23445,libre,4,23.27,76.70,0.03,9.94
11224,23455,fijo,4,19.20,80.80,0.00,9.98
11224,23455,libre,4,22.50,77.50,0.00,9.89
11224,33445,fijo,4,16.87,83.13,0.00,9.98
11224,33445,libre,4,21.37,78.60,0.03,10.07
11224,33455,fijo,4,16.67,83.33,0.00,10.02
11224,33455,libre,4,20.63,79.37,0.00,9.91
11224,34455,fijo,4,15.07,84.93,0.00,10.03
11224,34455,libre,4,19.03,80.97,0.00,9.92
11234,11225,fijo,4,66.50,32.97,0.53,9.95
11234,11225,libre,4,73.23,26.30,0.47,9.58
11234,11235,fijo,4,55.90,43.53,0.57,10.23
11234,11235,libre,4,60.50,39.03,0.47,9.79
11234,11245,fijo,4,40.00,59.30,0.70,10.17
11234,11245,libre,4,46.20,53.37,0.43,9.79
11234,11255,fijo,4,41.07,58.27,0.67,10.08
11234,11255,libre,4,45.70,54.13,0.17,9.77
11234,11335,fijo,4,49.93,49.83,0.23,9.94
11234,11335,libre,4,56.00,43.70,0.30,9.71
11234,11345,fijo,4,32.73,66.83,0.43,9.98
11234,11345,libre,4,37.80,61.97,0.23,9.76
11234,11355,fijo,4,34.87,64.87,0.27,9.89
11234,11355,libre,4,40.57,59.33,0.10,9.71
11234,11445,fijo,4,27.13,72.87,0.00,9.76
11234,11445,libre,4,30.93,69.07,0.00,9.67
11234,11455,fijo,4,25.70,74.30,0.00,9.74
11234,11455,libre,4,29.90,70.10,0.00,9.61
11234,12235,fijo,4,53.07,46.50,0.43,10.07
11234,12235,libre,4,57.80,41.80,0.40,9.74
11234,12245,fijo,4,38.23,61.53,0.23,9.95
11234,12245,libre,4,45.00,54.90,0.10,9.74
11234,12255,fijo,4,40.00,59.67,0.33,9.98
11234,12255,libre,4,44.63,55.30,0.07,9.74
11234,12335,fijo,4,47.93,51.53,0.53,10.08
11234,12335,libre,4,52.93,46.70,0.37,9.60
11234,12345,fijo,4,35.63,64.10,0.27,9.93
11234,12345,libre,4,39.57,60.27,0.17,9.66
11234,12355,fijo,4,36.23,63.60,0.17,9.87
11234,12355,libre,4,39.53,60.40,0.07,9.63
11234,12445,fijo,4,28.10,71.87,0.03,9.90
11234,12445,libre,4,33.00,66.97,0.03,9.69
11234,12455,fijo,4,27.47,72.53,0.00,9.71
11234,12455,libre,4,32.27,67.73,0.00,9.60
11234,13345,fijo,4,30.20,69.80,0.00,9.80
11234,13345,libre,4,36.87,63.07,0.07,9.75
11234,13355,fijo,4,32.13,67.87,0.00,9.78
11234,13355,libre,4,38.93,61.03,0.03,9.69
11234,13445,fijo,4,25.83,74.13,0.03,9.87
11234,13445,libre,4,30.17,69.80,0.03,9.66
11234,13455,fijo,4,24.73,75.27,0.00,9.72
11234,13455,libre,4,29.97,70.03,0.00,9.62
11234,14455,fijo,4,23.23,76.77,0.00,9.65
11234,14455,libre,4,27.00,73.00,0.00,9.57
11234,22335,fijo,4,41.73,58.23,0.03,9.87
11234,22335,libre,4,50.33,49.57,0.10,9.70
11234,22345,fijo,4,28.07,71.83,0.10,9.89
11234,22345,libre,4,34.10,65.87,0.03,9.77
11234,22355,fijo,4,29.73,70.27,0.00,9.84
11234,22355,libre,4,36.50,63.50,0.00,9.69
11234,22445,fijo,4,23.13,76.87,0.00,9.81
11234,22445,libre,4,28.30,71.70,0.00,9.81
11234,22455,fijo,4,22.37,77.63,0.00,9.80
11234,22455,libre,4,27.47,72.53,0.00,9.70
11234,23345,fijo,4,26.97,73.03,0.00,9.84
11234,23345,libre,4,32.73,67.23,0.03,9.89
11234,23355,fijo,4,28.57,71.43,0.00,9.87
11234,23355,libre,4,35.60,64.40,0.00,9.80
11234,23445,fijo,4,23.20,76.77,0.03,9.91
11234,23445,libre,4,27.50,72.47,0.03,9.82
11234,23455,fijo,4,22.23,77.77,0.00,9.80
11234,23455,libre,4,27.27,72.70,0.03,9.75
11234,24455,fijo,4,20.37,79.63,0.00,9.70
11234,24455,libre,4,23.70,76.30,0.00,9.75
11234,33445,fijo,4,18.60,81.40,0.00,9.86
11234,33445,libre,4,23.37,76.63,0.00,9.91
11234,33455,fijo,4,18.10,81.90,0.00,9.85
11234,33455,libre,4,22.57,77.43,0.00,9.80
11234,34455,fijo,4,16.47,83.53,0.00,9.81
11234,34455,libre,4,20.13,79.87,0.00,9.85
11244,11235,fijo,4,58.57,40.40,1.03,10.31
11244,11235,libre,4,65.53,33.93,0.53,9.83
11244,11335,fijo,4,56.20,43.13,0.67,10.32
11244,11335,libre,4,64.57,34.93,0.50,9.90
11244,11345,fijo,4,40.43,58.97,0.60,10.24
11244,11345,libre,4,45.07,54.63,0.30,9.83
11244,11355,fijo,4,37.27,62.10,0.63,10.26
11244,11355,libre,4,42.27,57.53,0.20,9.85
11244,12235,fijo,4,54.40,44.83,0.77,10.16
11244,12235,libre,4,62.73,36.67,0.60,9.78
11244,12335,fijo,4,53.63,45.63,0.73,10.21
11244,12335,libre,4,62.47,37.17,0.37,9.66
11244,12345,fijo,4,40.07,59.47,0.47,10.00
11244,12345,libre,4,43.83,55.83,0.33,9.75
11244,12355,fijo,4,36.87,62.70,0.43,10.14
11244,12355,libre,4,42.57,57.17,0.27,9.86
11244,13345,fijo,4,38.23,61.50,0.27,10.09
11244,13345,libre,4,42.83,57.07,0.10,9.79
11244,13355,fijo,4,37.33,62.27,0.40,10.10
11244,13355,libre,4,41.13,58.73,0.13,9.88
11244,13445,fijo,4,29.77,70.03,0.20,10.09
11244,13445,libre,4,34.73,65.27,0.00,9.77
11244,13455,fijo,4,26.43,73.57,0.00,10.02
11244,13455,libre,4,32.17,67.83,0.00,9.67
11244,22335,fijo,4,46.97,52.80,0.23,10.17
11244,22335,libre,4,58.07,41.70,0.23,9.87
11244,22345,fijo,4,34.07,65.83,0.10,10.03
11244,22345,libre,4,40.47,59.47,0.07,9.79
11244,22355,fijo,4,31.13,68.77,0.10,10.03
11244,22355,libre,4,36.80,63.17,0.03,9.91
11244,23345,fijo,4,33.47,66.37,0.17,10.09
11244,23345,libre,4,39.83,60.13,0.03,9.84
11244,23355,fijo,4,32.83,67.17,0.00,10.01
11244,23355,libre,4,37.23,62.73,0.03,9.98
11244,23445,fijo,4,26.07,73.90,0.03,10.11
11244,23445,libre,4,33.07,66.93,0.00,9.80
11244,23455,fijo,4,23.50,76.50,0.00,10.10
11244,23455,libre,4,30.40,69.60,0.00,9.73
11244,33445,fijo,4,24.10,75.83,0.07,10.05
11244,33445,libre,4,29.63,70.30,0.07,10.05
11244,33455,fijo,4,22.27,77.73,0.00,9.96
11244,33455,libre,4,26.83,73.17,0.00,9.84
11244,34455,fijo,4,20.30,79.70,0.00,9.96
11244,34455,libre,4,23.03,76.97,0.00,9.82
11334,11225,fijo,4,72.67,26.57,0.77,10.15
11334,11225,libre,4,76.57,22.93,0.50,9.66
11334,11235,fijo,4,63.03,36.33,0.63,10.13
11334,11235,libre,4,66.27,32.93,0.80,9.87
11334,11245,fijo,4,43.83,55.53,0.63,10.28
11334,11245,libre,4,47.73,51.73,0.53,9.99
11334,11255,fijo,4,44.57,54.87,0.57,10.11
11334,11255,libre,4,46.50,52.97,0.53,9.92
11334,12235,fijo,4,62.47,36.70,0.83,10.18
11334,12235,libre,4,65.37,33.80,0.83,9.90
11334,12245,fijo,4,43.57,55.70,0.73,10.32
11334,12245,libre,4,47.23,52.27,0.50,9.99
11334,12255,fijo,4,44.57,54.90,0.53,10.06
11334,12255,libre,4,47.30,52.43,0.27,9.96
11334,12335,fijo,4,54.67,44.40,0.93,10.09
11334,12335,libre,4,58.87,40.57,0.57,9.85
11334,12345,fijo,4,37.43,62.33,0.23,9.95
11334,12345,libre,4,40.53,59.27,0.20,9.72
11334,12355,fijo,4,38.33,61.27,0.40,10.09
11334,12355,libre,4,41.80,58.03,0.17,9.69
11334,12445,fijo,4,31.00,68.93,0.07,9.92
11334,12445,libre,4,33.73,66.20,0.07,9.81
11334,12455,fijo,4,29.07,70.93,0.00,9.91
11334,12455,libre,4,31.97,68.00,0.03,9.71
11334,22335,fijo,4,50.73,48.63,0.63,10.17
11334,22335,libre,4,56.43,43.13,0.43,9.86
11334,22345,fijo,4,32.60,67.10,0.30,10.11
11334,22345,libre,4,36.70,63.10,0.20,9.95
11334,22355,fijo,4,36.10,63.67,0.23,9.98
11334,22355,libre,4,38.70,61.07,0.23,9.82
11334,22445,fijo,4,26.00,73.97,0.03,9.97
11334,22445,libre,4,29.67,70.33,0.00,9.86
11334,22455,fijo,4,25.17,74.83,0.00,9.95
11334,22455,libre,4,27.67,72.33,0.00,9.75
11334,23345,fijo,4,30.50,69.50,0.00,10.02
11334,23345,libre,4,35.30,64.67,0.03,9.78
11334,23355,fijo,4,33.83,66.17,0.00,9.77
11334,23355,libre,4,37.17,62.77,0.07,9.70
11334,23445,fijo,4,25.60,74.37,0.03,9.96
11334,23445,libre,4,29.20,70.73,0.07,9.84
11334,23455,fijo,4,24.60,75.40,0.00,9.94
11334,23455,libre,4,27.83,72.13,0.03,9.81
11334,24455,fijo,4,22.17,77.83,0.00,9.86
11334,24455,libre,4,24.60,75.40,0.00,9.76
11344,11225,fijo,4,71.37,27.87,0.77,10.32
11344,11225,libre,4,76.50,22.83,0.67,9.70
11344,11235,fijo,4,67.00,32.17,0.83,10.24
11344,11235,libre,4,69.70,29.63,0.67,9.71
11344,11245,fijo,4,48.13,51.07,0.80,10.35
11344,11245,libre,4,51.33,48.23,0.43,9.83
11344,11255,fijo,4,42.00,57.20,0.80,10.29
11344,11255,libre,4,46.77,52.87,0.37,9.86
11344,12235,fijo,4,65.43,33.67,0.90,10.31
11344,12235,libre,4,69.27,30.17,0.57,9.70
11344,12245,fijo,4,46.90,52.33,0.77,10.35
11344,12245,libre,4,51.33,48.17,0.50,9.87
11344,12255,fijo,4,43.30,56.07,0.63,10.18
11344,12255,libre,4,46.13,53.50,0.37,9.96
11344,12335,fijo,4,62.23,36.73,1.03,10.30
11344,12335,libre,4,67.60,31.80,0.60,9.67
11344,12345,fijo,4,44.87,54.50,0.63,10.02
11344,12345,libre,4,48.47,51.17,0.37,9.79
11344,12355,fijo,4,41.10,58.03,0.87,10.21
11344,12355,libre,4,44.87,54.80,0.33,9.80
11344,12445,fijo,4,33.17,66.67,0.17,10.02
11344,12445,libre,4,37.30,62.60,0.10,9.68
11344,12455,fijo,4,29.00,71.00,0.00,10.03
11344,12455,libre,4,33.90,66.10,0.00,9.61
11344,22335,fijo,4,57.47,41.67,0.87,10.36
11344,22335,libre,4,64.77,34.67,0.57,9.77
11344,22345,fijo,4,39.77,59.63,0.60,10.30
11344,22345,libre,4,45.33,54.37,0.30,9.82
11344,22355,fijo,4,37.60,61.73,0.67,10.24
