white,black,pieza,casilla,respuestas,ganan,tablas,pierden,aguantan,plies,gana1,gana2,sindef
11235,23334,5,lado,15,4,0,11,14,14,34.4,65.0,0.6
11235,23334,3,lado,15,1,0,14,14,12,31.6,67.6,0.8
11235,23334,2,lado,15,2,0,13,15,12,31.0,68.2,0.8
11235,23334,1,lado,15,2,1,12,15,12,27.0,72.8,0.2
11255,34445,5,lado,15,0,1,14,13,0,41.0,57.8,1.2
11255,34445,2,lado,15,3,0,12,15,8,28.2,71.0,0.8
11255,34445,1,lado,15,3,0,12,15,8,26.0,73.6,0.4
11335,22444,3,lado,10,1,0,9,9,12,37.8,60.4,1.8
11335,22444,5,lado,10,0,4,6,10,0,33.0,65.4,1.6
11335,22444,1,lado,10,1,1,8,10,12,28.0,71.6,0.4
11335,23344,3,lado,15,1,0,14,14,12,33.6,66.2,0.2
11335,23344,5,lado,15,2,4,9,15,14,32.6,66.0,1.4
11335,23344,1,lado,15,2,1,12,15,12,27.4,72.0,0.6
11335,33334,5,lado,10,0,2,8,9,0,34.0,65.6,0.4
11335,33334,3,lado,10,1,0,9,10,12,32.4,67.4,0.2
11335,33334,1,lado,10,2,0,8,10,12,28.4,71.2,0.4
11335,33344,3,lado,10,1,0,9,10,12,32.0,68.0,0.0
11335,33344,5,lado,10,2,2,6,10,14,29.6,70.2,0.2
11335,33344,1,lado,10,2,0,8,10,12,23.4,76.4,0.2
11444,22335,4,lado,15,5,6,4,15,14,36.0,62.4,1.6
11444,22335,1,lado,15,11,2,2,15,8,25.0,73.8,1.2
11444,33335,4,lado,10,3,4,3,10,14,34.4,63.8,1.8
11444,33335,1,lado,10,6,2,2,10,8,25.8,73.2,1.0
12235,13334,5,lado,15,2,2,11,14,14,39.8,59.4,0.8
12235,13334,3,lado,15,1,0,14,14,12,35.6,63.2,1.2
12235,13334,2,lado,15,2,0,13,14,12,31.8,66.8,1.4
12235,13334,1,lado,15,2,0,13,15,12,29.2,69.4,1.4
12235,13344,5,lado,15,2,4,9,15,14,33.6,65.6,0.8
12235,13344,3,lado,15,1,0,14,14,12,31.0,67.8,1.2
12235,13344,2,lado,15,2,0,13,14,12,26.4,72.6,1.0
12235,13344,1,lado,15,2,0,13,15,12,24.4,74.8,0.8
12335,13444,5,lado,15,2,4,9,15,14,33.6,65.6,0.8
12335,13444,3,lado,15,1,0,14,14,12,33.0,66.0,1.0
12335,13444,2,lado,15,2,0,13,14,12,31.6,67.2,1.2
12335,13444,1,lado,15,2,0,13,15,12,26.0,73.4,0.6
12335,14444,5,lado,10,0,4,6,10,0,37.0,62.2,0.8
12335,14444,2,lado,10,1,0,9,9,12,32.8,66.4,0.8
12335,14444,1,lado,10,1,0,9,10,12,29.4,70.4,0.2
12335,14444,3,lado,10,1,0,9,9,12,29.0,69.8,1.2
12444,13335,4,lado,15,3,8,4,15,14,37.2,61.2,1.6
12444,13335,2,lado,15,8,4,3,15,8,29.4,68.6,2.0
12444,13335,1,lado,15,11,2,2,15,8,27.8,70.0,2.2
12444,23335,4,lado,15,5,6,4,15,14,33.4,64.8,1.8
12444,23335,2,lado,15,11,2,2,15,8,24.2,74.6,1.2
12444,23335,1,lado,15,11,2,2,15,8,23.8,74.2,2.0
12444,33335,4,lado,10,3,4,3,10,14,36.6,61.4,2.0
12444,33335,2,lado,10,6,2,2,10,8,25.6,73.2,1.2
12444,33335,1,lado,10,6,2,2,10,8,23.0,75.4,1.6
13335,13444,3,lado,15,1,0,14,14,12,36.2,62.4,1.4
13335,13444,5,lado,15,2,4,9,15,14,33.2,66.4,0.4
13335,13444,1,lado,15,2,0,13,15,12,32.0,67.2,0.8
13335,23444,3,lado,15,1,0,14,14,12,36.4,62.4,1.2
13335,23444,5,lado,15,2,4,9,15,14,32.6,67.0,0.4
13335,23444,1,lado,15,2,1,12,15,12,30.0,69.0,1.0
13335,33344,3,lado,10,1,0,9,10,12,31.0,69.0,0.0
13335,33344,5,lado,10,2,2,6,10,14,27.4,72.6,0.0
13335,33344,1,lado,10,2,0,8,10,12,23.8,76.2,0.0
13335,33444,3,lado,10,1,0,9,10,12,30.0,70.0,0.0
